	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot	GeneID	name	source	TranscriptID	Class
ORTHOMCL73	null	3	2	6	4	3	3	3	3	3	3	4	LOC409303	XP_006563865.1	Amel	XM_006563802.3	Background
ORTHOMCL74	null	3	1	8	7	3	4	2	2	2	2	2	LOC409713	XP_016772165.1	Amel	XM_016916676.2	Background
ORTHOMCL75	null	2	3	3	5	4	3	3	3	4	4	2	LOC552019	XP_006559452.1	Amel	XM_006559389.3	Background
ORTHOMCL76	null	1	1	11	8	3	2	1	1	2	1	5	LOC412399	XP_026300136.1	Amel	XM_026444351.1	Background
ORTHOMCL77	null	1	1	6	6	5	1	5	1	1	1	8	Antp	NP_001011571.1	Amel	NM_001011571.1	Background
ORTHOMCL78	null	1	1	5	6	10	1	1	2	1	1	7	LOC410373	XP_393853.1	Amel	XM_393853.7	Background
ORTHOMCL79	null	0	1	7	10	5	1	8	2	1	1	0	LOC100578418	XP_016766794.1	Amel	XM_016911305.2	Background
ORTHOMCL80	null	3	1	5	4	6	3	1	3	4	1	4	LOC410211	XP_016769737.1	Amel	XM_016914248.2	Background
ORTHOMCL81	null	4	2	4	3	4	4	3	3	2	3	3	LOC725599	XP_001121426.2	Amel	XM_001121426.5	Background
ORTHOMCL82	null	3	1	4	6	9	1	3	1	1	1	5	LOC550926	XP_006572329.1	Amel	XM_006572266.3	Background
ORTHOMCL83	null	2	2	3	3	3	4	4	4	3	3	4	LOC725920	XP_026295652.1	Amel	XM_026439867.1	Background
ORTHOMCL84	null	3	2	7	6	1	2	2	3	3	3	3	LOC409899	XP_016768163.1	Amel	XM_016912674.2	Background
ORTHOMCL85	null	3	4	5	4	1	2	6	1	2	3	4	LOC725017	XP_026296993.1	Amel	XM_026441208.1	Background
ORTHOMCL86	null	3	2	6	3	9	2	3	2	2	1	2	LOC552116	XP_624499.1	Amel	XM_624496.6	Background
ORTHOMCL87	null	2	2	5	4	5	2	3	3	2	2	5	LOC409792	XP_026302002.1	Amel	XM_026446217.1	Background
ORTHOMCL88	null	1	1	4	6	9	1	4	1	1	1	6	LOC410539	XP_394018.2	Amel	XM_394018.7	Background
ORTHOMCL89	null	3	2	3	6	3	4	3	4	2	2	3	LOC725456	XP_006565021.2	Amel	XM_006564958.3	Background
ORTHOMCL90	null	6	1	3	3	5	5	1	1	2	4	3	LOC725936	XP_026297485.1	Amel	XM_026441700.1	Background
ORTHOMCL92	null	5	2	5	5	3	2	4	2	2	2	2	LOC409715	XP_016771426.1	Amel	XM_016915937.2	Background
ORTHOMCL93	null	2	2	3	3	2	4	4	3	4	3	4	LOC409199	XP_392723.3	Amel	XM_392723.7	Background
ORTHOMCL94	null	4	3	3	3	3	3	3	3	3	3	3	Hsp90	NP_001153536.1	Amel	NM_001160064.1	Background
ORTHOMCL96	null	5	1	3	4	3	2	4	5	1	1	4	LOC551582	XP_623977.2	Amel	XM_623974.5	Background
ORTHOMCL97	null	1	1	12	1	1	1	1	1	1	1	12	LOC409056	XP_392582.1	Amel	XM_392582.7	Background
ORTHOMCL98	null	4	3	4	2	2	3	4	2	3	3	3	LOC413380	XP_006559006.1	Amel	XM_006558943.3	Background
ORTHOMCL99	null	2	2	4	3	4	3	2	3	3	3	4	LOC410785	XP_394261.3	Amel	XM_394261.7	Background
ORTHOMCL101	null	3	2	2	2	1	4	2	6	2	2	7	LOC551635	NP_001265257.1	Amel	NM_001278328.1	Background
ORTHOMCL102	null	3	3	5	3	2	2	3	3	3	4	2	LOC410823	XP_026294918.1	Amel	XM_026439133.1	Background
ORTHOMCL104	null	3	3	3	3	2	3	3	3	4	3	3	LOC113218788	XP_026296683.1	Amel	XM_026440898.1	Background
ORTHOMCL105	null	2	1	3	2	4	4	5	2	4	2	4	LOC551259	XP_026297592.1	Amel	XM_026441807.1	Background
ORTHOMCL106	null	1	1	3	3	6	2	2	2	2	1	10	LOC100577636	XP_003251584.1	Amel	XM_003251536.4	Background
ORTHOMCL107	null	5	2	2	2	2	2	4	2	3	5	3	LOC726683	XP_026296540.1	Amel	XM_026440755.1	Background
ORTHOMCL108	null	4	1	6	5	4	1	7	1	1	1	1	LOC413490	XP_396934.4	Amel	XM_396934.7	Background
ORTHOMCL109	null	3	3	3	4	3	3	3	3	2	2	3	LOC725727	XP_001121539.3	Amel	XM_001121539.5	Background
ORTHOMCL110	null	2	1	7	6	5	2	4	1	0	2	2	LOC551742	XP_026300805.1	Amel	XM_026445020.1	Background
ORTHOMCL111	null	3	1	2	2	5	1	7	8	1	1	1	LOC413468	XP_006568157.1	Amel	XM_006568094.3	Background
ORTHOMCL112	null	3	2	3	2	3	3	3	4	3	3	3	LOC412858	XP_396310.3	Amel	XM_396310.6	Background
ORTHOMCL113	null	2	2	4	1	5	3	5	3	2	2	3	LOC409646	XP_016770148.1	Amel	XM_016914659.2	Background
ORTHOMCL114	null	3	3	3	3	3	3	3	3	2	3	3	LOC411814	XP_026297382.1	Amel	XM_026441597.1	Background
ORTHOMCL115	null	1	1	6	6	1	4	3	3	1	1	5	LOC410085	XP_006559501.1	Amel	XM_006559438.3	Background
ORTHOMCL121	null	3	2	3	3	3	2	3	2	3	4	3	LOC408536	XP_006561110.1	Amel	XM_006561047.2	Background
ORTHOMCL122	null	1	1	5	7	1	2	4	7	1	1	1	Adk1	NP_001164443.1	Amel	NM_001170972.1	Background
ORTHOMCL123	null	3	3	3	3	3	3	3	3	1	3	3	LOC413591	XP_026296072.1	Amel	XM_026440287.1	Background
ORTHOMCL124	null	7	1	5	1	2	1	2	7	1	1	3	LOC724781	XP_001120680.3	Amel	XM_001120680.5	Background
ORTHOMCL125	null	3	3	3	3	2	3	3	3	2	3	3	LOC552711	XP_026300177.1	Amel	XM_026444392.1	Background
ORTHOMCL127	null	2	2	3	2	3	2	3	3	4	2	5	LOC726391	XP_001122133.3	Amel	XM_001122133.5	Background
ORTHOMCL128	null	3	1	3	3	3	3	3	3	3	3	3	LOC411175	XP_394649.3	Amel	XM_394649.6	Background
ORTHOMCL129	null	3	3	3	3	3	3	3	3	3	3	1	LOC725272	XP_001120132.1	Amel	XM_001120132.5	Background
ORTHOMCL130	null	2	2	5	2	2	3	3	3	3	3	3	LOC410573	XP_006563754.1	Amel	XM_006563691.3	Background
ORTHOMCL132	null	4	2	4	3	2	3	2	2	3	1	4	LOC552311	XP_026302268.1	Amel	XM_026446483.1	Background
ORTHOMCL133	null	6	2	2	3	2	2	4	2	3	2	2	LOC408678	XP_006568900.1	Amel	XM_006568837.3	Background
ORTHOMCL134	null	1	1	6	10	2	1	2	1	1	1	4	LOC413582	XP_016771725.1	Amel	XM_016916236.2	Background
ORTHOMCL135	null	3	2	3	3	3	3	3	3	2	3	2	LOC412193	XP_026297099.1	Amel	XM_026441314.1	Background
ORTHOMCL136	null	3	2	5	4	3	2	3	2	1	2	3	LOC725528	XP_001121363.2	Amel	XM_001121363.5	Background
ORTHOMCL137	null	2	2	6	2	5	2	3	2	2	2	2	LOC552814	XP_026299668.1	Amel	XM_026443883.1	Background
ORTHOMCL139	null	1	1	2	5	4	2	2	2	2	2	7	LOC552382	XP_006567971.1	Amel	XM_006567908.2	Background
ORTHOMCL140	null	1	1	5	11	1	2	3	1	1	1	3	LOC100578606	XP_006571736.2	Amel	XM_006571673.3	Background
ORTHOMCL141	null	2	2	3	2	2	2	4	7	1	2	3	LOC724687	XP_001120578.2	Amel	XM_001120578.5	Background
ORTHOMCL142	null	1	1	4	2	2	2	3	3	4	5	3	Nrx-1	NP_001139212.1	Amel	NM_001145740.1	Background
ORTHOMCL143	null	2	2	3	2	3	3	2	3	1	2	7	LOC411419	XP_006567974.1	Amel	XM_006567911.3	Background
ORTHOMCL144	null	1	1	7	12	1	1	1	1	1	1	3	LOC100578814	XP_026300077.1	Amel	XM_026444292.1	Background
ORTHOMCL145	null	1	1	5	3	6	1	5	1	2	2	2	LOC408408	XP_026300478.1	Amel	XM_026444693.1	Background
ORTHOMCL146	null	3	2	3	3	3	3	3	2	2	2	3	LOC100577679	XP_026301427.1	Amel	XM_026445642.1	Background
ORTHOMCL147	null	3	1	6	5	3	2	1	2	2	2	2	LOC551687	XP_026294961.1	Amel	XM_026439176.1	Background
ORTHOMCL148	null	3	3	3	3	3	1	3	2	3	2	3	LOC107965485	XP_016771541.2	Amel	XM_016916052.2	Background
ORTHOMCL149	null	3	1	4	4	2	2	3	3	1	1	5	LOC410675	XP_394152.2	Amel	XM_394152.7	Background
ORTHOMCL150	null	4	1	1	8	3	1	1	1	1	1	7	LOC412853	XP_003251836.1	Amel	XM_003251788.4	Background
ORTHOMCL151	null	3	2	3	3	2	3	3	2	1	4	3	LOC102656088	XP_006558190.2	Amel	XM_006558127.3	Background
ORTHOMCL152	null	2	2	3	3	3	2	4	3	2	2	3	LOC726210	XP_006560202.1	Amel	XM_006560139.3	Background
ORTHOMCL153	null	2	3	3	3	4	4	0	3	1	3	3	LOC107964022	XP_026298537.1	Amel	XM_026442752.1	Background
ORTHOMCL154	null	1	1	6	6	1	1	5	4	1	1	2	LOC551780	XP_006559644.1	Amel	XM_006559581.3	Background
ORTHOMCL155	null	3	3	3	3	3	3	3	2	1	2	3	LOC107965237	XP_016770628.2	Amel	XM_016915139.2	Background
ORTHOMCL156	null	3	3	3	3	3	2	2	1	3	3	3	LOC413471	XP_396915.4	Amel	XM_396915.6	Background
ORTHOMCL157	null	2	2	2	3	2	2	1	2	1	2	10	LOC412791	XP_026301178.1	Amel	XM_026445393.1	Background
ORTHOMCL159	null	2	1	1	3	3	2	3	2	4	4	4	LOC408874	XP_006570581.2	Amel	XM_006570518.3	Background
ORTHOMCL160	null	1	2	3	2	6	2	4	2	1	2	4	LOC552193	XP_624573.2	Amel	XM_624570.5	Background
ORTHOMCL161	null	2	1	2	3	4	1	10	1	1	1	3	LOC725452	XP_001120519.2	Amel	XM_001120519.5	Background
ORTHOMCL162	null	1	1	7	12	2	1	1	1	1	1	1	LOC724138	XP_001119871.2	Amel	XM_001119871.5	Background
ORTHOMCL163	null	2	2	3	3	5	2	3	2	1	2	4	LOC408935	XP_392464.3	Amel	XM_392464.7	Background
ORTHOMCL164	null	1	1	9	9	1	3	1	1	1	1	1	LOC100578332	XP_026299577.1	Amel	XM_026443792.1	Background
ORTHOMCL165	null	2	3	4	3	5	2	3	0	2	1	3	Or53	NP_001229907.1	Amel	NM_001242978.1	Background
ORTHOMCL166	null	3	2	2	2	4	2	2	4	2	2	3	LOC726957	XP_026296437.1	Amel	XM_026440652.1	Background
ORTHOMCL167	null	6	1	4	3	1	2	3	1	2	2	3	LOC102654975	XP_006562717.2	Amel	XM_006562654.3	Background
ORTHOMCL169	null	3	2	3	4	2	2	2	3	2	2	3	LOC411989	XP_623285.1	Amel	XM_623282.6	Background
ORTHOMCL170	null	3	2	2	5	1	5	2	2	1	2	3	LOC413303	XP_026297714.1	Amel	XM_026441929.1	Background
ORTHOMCL176	null	0	1	7	6	5	3	2	2	0	1	1	LOC726283	XP_026295477.1	Amel	XM_026439692.1	Background
ORTHOMCL178	null	4	2	2	2	5	2	2	2	1	2	3	LOC724997	XP_001120899.3	Amel	XM_001120899.5	Background
ORTHOMCL180	null	2	2	3	3	2	2	2	2	1	2	6	LOC412610	XP_026297975.1	Amel	XM_026442190.1	Background
ORTHOMCL181	null	3	1	3	3	3	1	3	4	2	2	2	LOC409882	XP_016767662.1	Amel	XM_016912173.2	Background
ORTHOMCL182	null	2	2	2	5	5	2	2	2	2	1	2	LOC100576146	XP_016768578.1	Amel	XM_016913089.2	Background
ORTHOMCL183	null	3	3	4	3	1	1	2	1	3	2	4	LOC100578886	XP_026300643.1	Amel	XM_026444858.1	Background
ORTHOMCL184	null	3	2	3	3	3	2	3	2	1	2	3	LOC409137	XP_026301221.1	Amel	XM_026445436.1	Background
ORTHOMCL185	null	2	2	2	2	5	2	3	1	2	2	4	LOC551340	XP_006572374.1	Amel	XM_006572311.3	Background
ORTHOMCL186	null	5	2	2	2	5	2	2	2	2	1	2	LOC412927	XP_006560054.1	Amel	XM_006559991.3	Background
ORTHOMCL187	null	2	3	2	4	4	4	2	1	3	2	0	LOC408453	XP_006562363.1	Amel	XM_006562300.3	Background
ORTHOMCL189	null	3	1	1	2	1	1	1	1	1	1	14	LOC100576293	XP_003250662.1	Amel	XM_003250614.4	Background
ORTHOMCL190	null	2	2	4	4	4	2	2	2	1	2	2	LOC411920	XP_395389.2	Amel	XM_395389.7	Background
ORTHOMCL191	null	2	2	3	2	2	2	5	3	2	2	2	LOC552358	XP_026298221.1	Amel	XM_026442436.1	Background
ORTHOMCL192	null	1	1	3	3	8	3	1	1	1	1	4	LOC410394	XP_393874.3	Amel	XM_393874.5	Background
ORTHOMCL193	null	2	1	6	5	5	1	3	1	1	1	1	LOC726569	XP_026296777.1	Amel	XM_026440992.1	Background
ORTHOMCL194	null	4	1	3	3	4	3	3	3	1	1	1	LOC409613	XP_006563700.1	Amel	XM_006563637.2	Background
ORTHOMCL196	null	1	1	1	5	2	1	3	1	1	1	10	LOC413025	XP_016767886.2	Amel	XM_016912397.2	Background
ORTHOMCL197	null	3	1	4	3	3	1	7	1	0	1	3	LOC725076	XP_006561688.1	Amel	XM_006561625.2	Background
ORTHOMCL198	null	1	1	1	4	1	1	1	2	1	1	13	LOC551936	XP_624322.1	Amel	XM_624319.5	Background
ORTHOMCL199	null	1	1	6	7	6	1	1	1	1	1	1	LOC102654083	XP_026299531.1	Amel	XM_026443746.1	Background
ORTHOMCL200	null	2	2	3	3	5	2	2	2	2	2	2	LOC725870	XP_001121669.2	Amel	XM_001121669.5	Background
ORTHOMCL201	null	2	2	3	2	3	3	1	2	4	2	3	LOC724435	XP_001120291.5	Amel	XM_001120291.5	Background
ORTHOMCL202	null	1	1	2	10	1	1	5	1	1	1	3	LOC552757	XP_026301193.1	Amel	XM_026445408.1	Background
ORTHOMCL203	null	1	1	6	6	4	1	2	2	1	1	2	LOC100576359	XP_016767931.1	Amel	XM_016912442.2	Background
ORTHOMCL204	null	3	2	3	2	2	3	3	2	2	2	2	LOC551263	XP_006568578.1	Amel	XM_006568515.3	Background
ORTHOMCL205	null	5	1	3	4	1	3	1	5	1	1	1	LOC409908	XP_026296970.1	Amel	XM_026441185.1	Background
ORTHOMCL206	null	4	5	1	2	1	0	9	1	1	1	1	LOC552425	XP_006565044.2	Amel	XM_006564981.3	Background
ORTHOMCL208	null	4	1	3	3	2	2	2	3	2	2	2	LOC408618	XP_026298461.1	Amel	XM_026442676.1	Background
ORTHOMCL209	null	1	2	2	3	2	3	3	5	2	2	1	LOC411047	XP_006560607.2	Amel	XM_006560544.2	Background
ORTHOMCL210	null	2	1	4	3	2	2	3	2	2	2	3	LOC408775	XP_016767177.1	Amel	XM_016911688.2	Background
ORTHOMCL211	null	1	1	5	6	2	1	1	1	1	1	6	LOC550664	XP_003250782.1	Amel	XM_003250734.4	Background
ORTHOMCL214	null	2	2	3	3	4	2	2	2	2	1	3	LOC724596	XP_001120493.3	Amel	XM_001120493.5	Background
ORTHOMCL215	null	1	1	5	6	6	1	2	1	1	1	1	LOC725008	XP_001120910.2	Amel	XM_001120910.5	Background
ORTHOMCL216	null	2	1	2	2	3	2	2	5	2	2	3	LOC100577649	XP_026299610.1	Amel	XM_026443825.1	Background
ORTHOMCL217	null	3	2	3	3	4	2	2	2	2	2	1	LOC726416	XP_026301093.1	Amel	XM_026445308.1	Background
ORTHOMCL219	null	1	1	3	3	5	1	1	5	1	1	4	LOC408685	XP_026295045.1	Amel	XM_026439260.1	Background
ORTHOMCL220	null	1	1	6	5	4	1	1	1	1	1	4	LOC100576369	XP_003249075.1	Amel	XM_003249027.4	Background
ORTHOMCL221	null	2	1	2	2	2	4	3	4	1	1	4	LOC409481	XP_392990.2	Amel	XM_392990.7	Background
ORTHOMCL222	null	2	2	2	4	2	2	3	2	3	3	1	LOC410779	XP_006571557.2	Amel	XM_006571494.3	Background
ORTHOMCL223	null	1	1	3	3	4	3	7	1	1	1	1	LOC409487	XP_392994.4	Amel	XM_392994.7	Background
ORTHOMCL224	null	2	2	2	5	3	2	2	3	1	1	3	LOC552280	XP_026295498.1	Amel	XM_026439713.1	Background
ORTHOMCL225	null	2	4	1	2	2	3	2	3	3	3	1	LOC551454	NP_001314886.1	Amel	NM_001327957.1	Background
ORTHOMCL228	null	3	4	2	2	2	2	2	3	1	2	3	LOC412162	XP_026297532.1	Amel	XM_026441747.1	Background
ORTHOMCL230	null	1	1	3	4	2	5	1	5	1	1	2	LOC727309	XP_003250703.1	Amel	XM_003250655.4	Background
ORTHOMCL234	null	3	2	1	1	2	3	2	5	2	1	3	LOC551894	XP_624283.3	Amel	XM_624280.6	Background
ORTHOMCL235	null	2	2	3	2	5	2	2	2	1	2	2	LOC413425	XP_396869.4	Amel	XM_396869.7	Background
ORTHOMCL236	null	1	1	3	5	4	5	2	1	1	1	1	LOC413018	XP_006571185.1	Amel	XM_006571122.3	Background
ORTHOMCL238	null	3	2	2	2	2	2	3	3	2	2	2	LOC550667	XP_623065.2	Amel	XM_623062.6	Background
ORTHOMCL239	null	3	1	3	3	3	3	3	1	1	1	3	LOC410689	XP_006571248.1	Amel	XM_006571185.3	Background
ORTHOMCL240	null	2	2	4	4	2	2	2	2	1	2	2	LOC100576871	XP_026299913.1	Amel	XM_026444128.1	Background
ORTHOMCL242	null	2	2	2	3	5	2	2	2	1	2	2	LOC552276	XP_624655.3	Amel	XM_624652.6	Background
ORTHOMCL243	null	3	2	2	3	2	2	3	2	2	2	2	LOC552535	XP_026299701.1	Amel	XM_026443916.1	Background
ORTHOMCL244	null	5	2	2	2	2	2	2	3	1	2	2	LOC100578262	NP_001229447.1	Amel	NM_001242518.1	Background
ORTHOMCL246	null	2	2	2	6	2	2	2	2	2	2	1	LOC408398	XP_006557887.1	Amel	XM_006557824.3	Background
ORTHOMCL247	null	2	2	2	2	3	2	2	2	3	2	3	LOC412887	XP_026297189.1	Amel	XM_026441404.1	Background
ORTHOMCL249	null	2	2	2	2	4	2	2	2	3	3	1	LOC100577517	XP_026297095.1	Amel	XM_026441310.1	Background
ORTHOMCL250	null	3	2	1	2	2	4	2	2	3	2	2	INTS8	NP_001229315.1	Amel	NM_001242386.1	Background
ORTHOMCL251	null	4	1	3	3	1	1	8	1	1	1	1	LOC724804	XP_026300873.1	Amel	XM_026445088.1	Background
ORTHOMCL252	null	3	2	1	3	2	2	3	2	2	2	3	LOC411297	XP_026298813.1	Amel	XM_026443028.1	Background
ORTHOMCL253	null	2	2	2	2	5	2	2	2	2	2	2	LOC408365	XP_006566457.1	Amel	XM_006566394.2	Background
ORTHOMCL254	null	2	1	2	2	4	1	1	1	1	1	9	LOC411678	XP_395146.3	Amel	XM_395146.7	Background
ORTHOMCL255	null	3	2	2	2	2	2	4	2	2	2	2	LOC409167	XP_392691.2	Amel	XM_392691.7	Background
ORTHOMCL256	null	2	2	2	3	4	3	1	2	3	1	2	LOC552025	XP_016767891.1	Amel	XM_016912402.2	Background
ORTHOMCL257	null	4	5	1	1	2	2	2	1	2	2	3	LOC100578512	XP_026298639.1	Amel	XM_026442854.1	Background
ORTHOMCL258	null	1	1	5	5	1	1	1	1	1	1	7	LOC410352	XP_006566517.1	Amel	XM_006566454.3	Background
ORTHOMCL259	null	2	1	4	3	3	2	1	1	3	1	4	LOC725169	XP_026296135.1	Amel	XM_026440350.1	Background
ORTHOMCL260	null	1	2	4	2	3	2	2	2	2	2	3	LOC725394	XP_016772111.2	Amel	XM_016916622.2	Background
ORTHOMCL261	null	2	2	2	3	3	2	3	2	1	2	3	LOC411248	XP_026297864.1	Amel	XM_026442079.1	Background
ORTHOMCL262	null	1	1	2	2	8	1	2	1	1	1	5	LOC725617	XP_006561257.1	Amel	XM_006561194.3	Background
ORTHOMCL263	null	2	2	2	2	3	2	2	2	2	2	4	LOC551270	XP_026299144.1	Amel	XM_026443359.1	Background
ORTHOMCL264	null	2	1	3	3	3	1	2	1	1	1	7	LOC724909	XP_016769779.1	Amel	XM_016914290.2	Background
ORTHOMCL265	null	2	2	2	4	2	3	2	2	1	2	3	LOC552206	XP_026301918.1	Amel	XM_026446133.1	Background
ORTHOMCL266	null	2	1	4	3	2	2	2	2	1	1	5	LOC100576216	XP_016767897.1	Amel	XM_016912408.2	Background
ORTHOMCL267	null	1	1	4	6	1	1	1	1	1	1	7	LOC412606	XP_026299447.1	Amel	XM_026443662.1	Background
ORTHOMCL270	null	1	1	5	4	1	3	1	1	1	1	6	LOC724843	XP_006560866.2	Amel	XM_006560803.3	Background
ORTHOMCL271	null	1	1	4	4	5	1	2	1	1	1	4	LOC408374	XP_006562291.2	Amel	XM_006562228.3	Background
ORTHOMCL272	null	1	1	4	3	5	2	4	1	1	1	2	LOC550686	XP_623083.1	Amel	XM_623080.5	Background
ORTHOMCL273	null	2	2	2	2	3	2	2	2	3	3	2	LOC409843	XP_016768921.1	Amel	XM_016913432.2	Background
