	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot	GeneID	name	source	TranscriptID	Class
ORTHOMCL207	null	2	2	2	2	2	3	2	2	1	2	6	Vg	NP_001011578.1	Amel	NM_001011578.1	NonCanon
ORTHOMCL212	null	2	2	4	5	2	2	2	2	1	2	2	LOC551880	XP_026298504.1	Amel	XM_026442719.1	NonCanon
ORTHOMCL218	null	3	1	5	3	4	1	3	3	1	1	1	LOC551619	XP_026296707.1	Amel	XM_026440922.1	NonCanon
ORTHOMCL227	null	4	3	4	6	2	1	1	1	1	1	2	LOC551805	XP_624193.2	Amel	XM_624190.6	NonCanon
ORTHOMCL229	null	2	2	2	3	2	3	2	3	1	2	4	LOC726966	XP_006558763.1	Amel	XM_006558700.3	NonCanon
ORTHOMCL241	null	5	1	2	2	5	1	3	2	1	1	2	LOC412378	XP_006567967.1	Amel	XM_006567904.3	NonCanon
ORTHOMCL245	null	2	2	3	5	2	1	2	2	2	3	1	rtGEF	NP_001265258.1	Amel	NM_001278329.1	NonCanon
ORTHOMCL248	null	2	2	2	3	2	2	3	2	1	2	4	LOC726218	XP_026302058.1	Amel	XM_026446273.1	NonCanon
ORTHOMCL268	null	2	2	2	2	5	2	2	2	2	2	2	LOC100577138	XP_006566236.2	Amel	XM_006566173.3	NonCanon
ORTHOMCL269	null	2	2	3	3	2	2	3	2	1	2	3	LOC550966	XP_623363.1	Amel	XM_623360.6	NonCanon
ORTHOMCL289	null	3	1	1	1	2	2	4	6	1	1	2	LOC408742	XP_392277.4	Amel	XM_392277.7	NonCanon
ORTHOMCL305	null	2	2	2	2	4	2	2	2	2	2	2	LOC727495	XP_026299462.1	Amel	XM_026443677.1	NonCanon
ORTHOMCL309	null	2	2	2	3	2	2	2	2	3	2	2	LOC725486	XP_026298460.1	Amel	XM_026442675.1	NonCanon
ORTHOMCL311	null	2	2	2	2	4	2	2	2	2	2	2	LOC724704	XP_016768488.1	Amel	XM_016912999.2	NonCanon
ORTHOMCL314	null	1	1	2	2	4	3	1	1	5	2	2	GstS1	NP_001153742.1	Amel	NM_001160270.1	NonCanon
ORTHOMCL318	null	1	1	4	7	4	1	2	1	1	1	1	LOC413030	XP_396481.3	Amel	XM_396481.6	NonCanon
ORTHOMCL319	null	1	1	3	4	5	1	5	1	1	1	1	LOC411457	XP_006566645.1	Amel	XM_006566582.3	NonCanon
ORTHOMCL328	null	1	1	5	3	5	1	3	1	1	1	2	LOC409905	XP_393396.2	Amel	XM_393396.6	NonCanon
ORTHOMCL331	null	1	1	4	4	4	1	1	1	1	1	5	LOC102656263	XP_006563787.1	Amel	XM_006563724.1	NonCanon
ORTHOMCL338	null	1	1	3	3	2	1	3	5	1	1	2	LOC409196	XP_006559494.1	Amel	XM_006559431.3	NonCanon
ORTHOMCL351	null	2	2	3	3	2	2	1	2	2	2	2	LOC725325	XP_006564785.1	Amel	XM_006564722.3	NonCanon
ORTHOMCL358	null	2	1	4	4	1	1	2	1	1	1	5	LOC409520	XP_393026.2	Amel	XM_393026.7	NonCanon
ORTHOMCL365	null	3	1	2	2	5	1	3	1	1	1	3	LOC413383	XP_006559859.1	Amel	XM_006559796.3	NonCanon
ORTHOMCL368	null	2	1	1	3	2	2	2	3	3	3	1	LOC551356	XP_026301920.1	Amel	XM_026446135.1	NonCanon
ORTHOMCL375	null	2	2	3	3	2	2	2	2	1	2	2	LOC410911	XP_026295287.1	Amel	XM_026439502.1	NonCanon
ORTHOMCL382	null	3	1	3	4	1	1	1	1	1	1	6	LOC411633	XP_006569376.1	Amel	XM_006569313.3	NonCanon
ORTHOMCL386	null	2	2	1	2	3	2	2	2	2	2	3	LOC551420	NP_001265265.1	Amel	NM_001278336.1	NonCanon
ORTHOMCL387	null	1	1	5	5	1	2	1	3	1	1	2	LOC411365	XP_006557316.1	Amel	XM_006557253.3	NonCanon
ORTHOMCL391	null	2	2	2	2	1	2	5	2	1	2	2	LOC409316	XP_006560662.2	Amel	XM_006560599.3	NonCanon
ORTHOMCL406	null	1	2	2	3	2	1	4	4	2	1	1	Jhe	NP_001011563.1	Amel	NM_001011563.1	NonCanon
ORTHOMCL427	null	3	1	5	4	2	1	1	1	1	1	2	LOC552562	XP_006568883.1	Amel	XM_006568820.3	NonCanon
ORTHOMCL435	null	2	1	4	3	1	1	2	3	1	1	3	LOC552432	XP_026298315.1	Amel	XM_026442530.1	NonCanon
ORTHOMCL438	null	3	1	2	1	2	4	1	2	1	1	4	LOC409019	XP_006561675.1	Amel	XM_006561612.3	NonCanon
ORTHOMCL439	null	2	2	2	2	2	2	2	2	2	2	2	LOC409179	XP_392704.2	Amel	XM_392704.7	NonCanon
ORTHOMCL445	null	1	1	2	4	5	3	1	2	1	1	1	LOC100576826	XP_006567941.1	Amel	XM_006567878.3	NonCanon
ORTHOMCL453	null	2	2	2	2	2	2	3	2	2	2	1	LOC408661	XP_026294880.1	Amel	XM_026439095.1	NonCanon
ORTHOMCL463	null	2	2	1	1	2	2	2	2	1	1	6	LOC408953	XP_026297659.1	Amel	XM_026441874.1	NonCanon
ORTHOMCL464	null	1	1	1	2	6	1	2	1	5	1	1	LOC100578329	XP_026300187.1	Amel	XM_026444402.1	NonCanon
ORTHOMCL469	null	2	1	2	2	3	2	2	2	2	2	2	LOC411048	XP_016767148.1	Amel	XM_016911659.2	NonCanon
ORTHOMCL473	null	1	1	2	2	6	3	1	1	1	1	3	LOC552451	XP_026295766.1	Amel	XM_026439981.1	NonCanon
ORTHOMCL474	null	2	2	1	2	2	2	2	2	2	2	3	LOC410484	XP_393963.3	Amel	XM_393963.6	NonCanon
ORTHOMCL475	null	2	1	4	4	4	1	2	1	1	1	1	LOC410270	XP_393751.2	Amel	XM_393751.7	NonCanon
ORTHOMCL488	null	2	2	2	2	2	2	2	2	2	2	2	LOC552723	XP_625101.1	Amel	XM_625098.6	NonCanon
ORTHOMCL493	null	1	1	3	5	1	2	1	2	1	1	4	LOC413678	XP_016767794.2	Amel	XM_016912305.2	NonCanon
ORTHOMCL497	null	1	1	4	4	1	1	1	3	4	1	1	LOC408421	XP_623685.1	Amel	XM_623682.6	NonCanon
ORTHOMCL501	null	2	2	2	2	3	2	2	2	1	2	2	LOC552458	XP_624836.1	Amel	XM_624833.5	NonCanon
ORTHOMCL516	null	2	1	2	2	2	2	2	2	2	2	2	LOC408955	XP_392483.3	Amel	XM_392483.6	NonCanon
ORTHOMCL520	null	1	1	1	1	7	1	1	5	1	1	1	LOC551982	XP_006559857.1	Amel	XM_006559794.3	NonCanon
ORTHOMCL535	null	2	2	2	2	1	2	2	2	2	2	2	LOC552716	NP_001265634.1	Amel	NM_001278705.1	NonCanon
ORTHOMCL566	null	1	1	1	1	5	1	2	6	0	1	2	LOC724669	XP_026294924.1	Amel	XM_026439139.1	NonCanon
ORTHOMCL570	null	1	1	3	2	3	2	2	2	2	2	1	LOC413909	XP_016771659.1	Amel	XM_016916170.2	NonCanon
ORTHOMCL572	null	1	1	5	1	4	1	1	1	1	1	4	LOC726389	XP_016769991.2	Amel	XM_016914502.2	NonCanon
ORTHOMCL578	null	1	1	1	2	5	1	2	1	1	1	5	LOC724947	XP_016766914.1	Amel	XM_016911425.2	NonCanon
ORTHOMCL580	null	1	1	1	1	3	1	6	2	1	1	3	LOC410821	XP_006568998.1	Amel	XM_006568935.3	NonCanon
ORTHOMCL582	null	1	1	4	5	1	1	1	2	1	1	3	LOC551088	XP_623490.2	Amel	XM_623487.6	NonCanon
ORTHOMCL583	null	1	1	4	4	1	1	2	3	1	1	2	LOC413246	XP_006558879.1	Amel	XM_006558816.3	NonCanon
ORTHOMCL585	null	2	2	2	2	2	2	2	2	1	2	2	LOC412198	XP_016769783.2	Amel	XM_016914294.2	NonCanon
ORTHOMCL601	null	1	1	1	1	1	6	5	1	1	1	1	LOC413987	XP_006559822.1	Amel	XM_006559759.3	NonCanon
ORTHOMCL603	null	4	1	4	4	0	0	2	1	1	1	2	LOC724685	XP_006566695.1	Amel	XM_006566632.3	NonCanon
ORTHOMCL611	null	4	1	3	3	2	1	1	1	1	1	2	LOC726747	XP_001122467.1	Amel	XM_001122467.5	NonCanon
ORTHOMCL613	null	2	2	1	1	2	2	2	3	2	2	1	LOC410337	NP_001119715.2	Amel	NM_001126243.2	NonCanon
ORTHOMCL617	null	4	1	2	2	3	1	1	1	1	1	3	LOC409189	XP_006571560.1	Amel	XM_006571497.3	NonCanon
ORTHOMCL620	null	2	2	3	1	2	1	2	1	2	2	2	LOC408286	XP_026299226.1	Amel	XM_026443441.1	NonCanon
ORTHOMCL624	null	1	1	2	3	3	1	1	2	1	1	4	LOC552551	XP_624930.1	Amel	XM_624927.6	NonCanon
ORTHOMCL628	null	2	1	3	2	1	2	2	1	2	2	2	LOC408900	XP_006569466.2	Amel	XM_006569403.3	NonCanon
ORTHOMCL644	null	3	1	3	3	3	1	2	1	1	1	1	LOC412619	XP_396074.2	Amel	XM_396074.6	NonCanon
ORTHOMCL645	null	1	1	5	6	1	1	1	1	1	1	1	LOC724496	XP_006571180.1	Amel	XM_006571117.3	NonCanon
ORTHOMCL648	null	1	1	4	7	1	2	1	1	1	0	1	LOC411376	XP_026295181.1	Amel	XM_026439396.1	NonCanon
ORTHOMCL651	null	2	1	2	1	1	1	3	1	2	2	4	LOC408906	XP_016768666.1	Amel	XM_016913177.2	NonCanon
ORTHOMCL657	null	1	1	1	2	1	1	1	4	1	1	6	LOC409203	XP_392727.4	Amel	XM_392727.7	NonCanon
ORTHOMCL673	null	1	1	3	7	1	1	2	1	1	1	1	LOC551231	XP_026299072.1	Amel	XM_026443287.1	NonCanon
ORTHOMCL679	null	1	1	4	3	1	1	1	1	1	1	4	LOC408458	XP_026300941.1	Amel	XM_026445156.1	NonCanon
ORTHOMCL706	null	1	1	4	6	1	1	1	1	1	1	1	LOC552656	XP_625034.1	Amel	XM_625031.6	NonCanon
ORTHOMCL709	null	1	1	1	1	4	2	1	1	1	1	5	LOC726428	XP_006569035.1	Amel	XM_006568972.3	NonCanon
ORTHOMCL711	null	4	1	2	2	3	1	2	1	1	1	1	LOC409260	XP_006566547.1	Amel	XM_006566484.3	NonCanon
ORTHOMCL722	null	4	1	3	1	1	1	1	1	1	1	4	LOC726609	XP_016770405.1	Amel	XM_016914916.2	NonCanon
ORTHOMCL731	null	1	1	4	3	2	1	3	1	1	1	1	LOC726414	XP_026299178.1	Amel	XM_026443393.1	NonCanon
ORTHOMCL752	null	1	1	1	1	3	0	8	1	1	1	1	LOC102654353	XP_006571382.1	Amel	XM_006571319.3	NonCanon
ORTHOMCL755	null	1	1	4	6	1	1	1	1	1	1	1	LOC551447	XP_006572418.1	Amel	XM_006572355.3	NonCanon
ORTHOMCL756	null	2	1	1	2	4	2	1	1	2	2	1	LOC409801	XP_393293.2	Amel	XM_393293.7	NonCanon
ORTHOMCL761	null	1	1	2	3	0	2	2	2	2	2	2	LOC412801	XP_396254.6	Amel	XM_396254.7	NonCanon
ORTHOMCL766	null	1	1	3	4	1	3	1	2	1	1	1	LOC552686	XP_003249169.1	Amel	XM_003249121.4	NonCanon
ORTHOMCL777	null	1	1	3	3	1	1	1	1	1	1	5	LOC551219	XP_016767882.2	Amel	XM_016912393.2	NonCanon
ORTHOMCL778	null	1	1	4	6	1	1	1	1	1	1	1	LOC410943	XP_394419.2	Amel	XM_394419.7	NonCanon
ORTHOMCL782	null	0	1	1	1	4	0	4	6	0	2	0	LOC724560	XP_001120449.2	Amel	XM_001120449.5	NonCanon
ORTHOMCL791	null	1	2	2	1	1	1	1	2	2	3	2	LOC724745	XP_006559962.1	Amel	XM_006559899.1	NonCanon
ORTHOMCL804	null	5	1	1	2	1	2	1	1	1	1	2	Cox6c	NP_001165876.1	Amel	NM_001172405.1	NonCanon
ORTHOMCL807	null	3	1	2	2	1	2	3	1	1	1	1	LOC409909	XP_006570789.1	Amel	XM_006570726.3	NonCanon
ORTHOMCL810	null	2	1	1	1	1	1	2	1	1	1	6	LOC550780	XP_623109.1	Amel	XM_623106.5	NonCanon
ORTHOMCL812	null	2	2	1	1	1	2	2	1	2	2	2	LOC551911	XP_624299.2	Amel	XM_624296.6	NonCanon
ORTHOMCL836	null	3	3	1	2	2	1	1	1	3	1	0	LOC724226	XP_026296165.1	Amel	XM_026440380.1	NonCanon
ORTHOMCL838	null	1	1	3	2	3	1	2	1	1	1	2	LOC551602	XP_623996.3	Amel	XM_623993.6	NonCanon
ORTHOMCL846	null	2	1	2	1	3	1	4	1	1	1	1	LOC725026	XP_006561752.1	Amel	XM_006561689.3	NonCanon
ORTHOMCL848	null	2	2	1	1	2	2	2	2	1	1	2	Apd-1	NP_001078814.1	Amel	NM_001085345.1	NonCanon
ORTHOMCL864	null	2	1	1	2	2	2	1	1	2	2	2	LOC412878	XP_006561260.1	Amel	XM_006561197.3	NonCanon
ORTHOMCL866	null	3	4	2	1	1	2	1	1	1	1	1	LOC726134	NP_001136081.1	Amel	NM_001142609.1	NonCanon
ORTHOMCL873	null	1	1	1	1	1	1	1	1	1	1	8	LOC551964	XP_624349.1	Amel	XM_624346.6	NonCanon
ORTHOMCL874	null	2	2	2	1	1	4	2	1	2	0	1	LOC412458	XP_026299083.1	Amel	XM_026443298.1	NonCanon
ORTHOMCL886	null	1	1	4	4	1	2	1	1	1	1	1	LOC411985	XP_395451.4	Amel	XM_395451.7	NonCanon
ORTHOMCL889	null	1	1	1	1	5	2	1	1	1	1	3	LOC552748	XP_625126.3	Amel	XM_625123.6	NonCanon
ORTHOMCL892	null	1	1	2	2	2	2	2	2	1	1	2	LOC409068	XP_006566650.1	Amel	XM_006566587.3	NonCanon
ORTHOMCL901	null	1	1	1	3	3	1	3	2	1	1	1	LOC408430	XP_026300380.1	Amel	XM_026444595.1	NonCanon
ORTHOMCL902	null	1	1	3	3	4	1	1	1	1	1	1	LOC100577050	XP_026300995.1	Amel	XM_026445210.1	NonCanon
ORTHOMCL907	null	1	1	1	5	1	1	3	2	1	1	1	LOC552283	XP_026295805.1	Amel	XM_026440020.1	NonCanon
ORTHOMCL920	null	1	1	3	3	1	1	1	3	1	1	1	LOC408474	NP_001127699.1	Amel	NM_001134227.1	NonCanon
ORTHOMCL924	null	5	1	1	1	1	2	1	1	1	1	2	LOC408911	XP_006569510.1	Amel	XM_006569447.3	NonCanon
ORTHOMCL940	null	1	1	1	2	5	2	1	2	0	1	1	Cox6b1	NP_001165874.1	Amel	NM_001172403.1	NonCanon
ORTHOMCL943	null	2	1	2	2	1	2	1	2	1	1	2	LOC408395	XP_391943.1	Amel	XM_391943.7	NonCanon
ORTHOMCL948	null	1	1	2	2	2	2	2	1	1	1	2	LOC412750	XP_396203.4	Amel	XM_396203.7	NonCanon
ORTHOMCL950	null	1	1	1	1	1	1	3	1	1	1	5	LOC412303	XP_006569984.1	Amel	XM_006569921.3	NonCanon
ORTHOMCL955	null	1	1	2	2	2	1	1	0	1	1	5	LOC102654084	XP_016772149.1	Amel	XM_016916660.2	NonCanon
ORTHOMCL961	null	1	1	3	3	3	1	1	1	1	1	1	LOC409924	XP_006568168.1	Amel	XM_006568105.3	NonCanon
ORTHOMCL973	null	1	1	1	1	2	2	1	2	1	1	4	LOC725143	XP_006568251.2	Amel	XM_006568188.3	NonCanon
ORTHOMCL979	null	1	1	1	2	1	1	2	3	2	2	1	LOC410155	XP_016770011.2	Amel	XM_016914522.2	NonCanon
ORTHOMCL985	null	1	1	4	4	1	1	1	1	1	1	1	LOC412950	XP_026297867.1	Amel	XM_026442082.1	NonCanon
ORTHOMCL986	null	2	2	1	2	2	1	2	1	1	2	1	LOC102655612	XP_026298995.1	Amel	XM_026443210.1	NonCanon
ORTHOMCL991	null	1	1	4	4	1	1	1	1	1	1	1	LOC100578697	XP_003249423.2	Amel	XM_003249375.4	NonCanon
ORTHOMCL997	null	2	1	2	2	2	1	2	1	1	1	2	LOC551603	XP_006559507.1	Amel	XM_006559444.3	NonCanon
ORTHOMCL1003	null	2	1	1	1	2	2	2	1	1	1	3	LOC409388	XP_392903.1	Amel	XM_392903.7	NonCanon
ORTHOMCL1004	null	2	1	2	2	1	1	2	3	1	1	1	LOC411408	XP_394882.2	Amel	XM_394882.7	NonCanon
ORTHOMCL1005	null	2	1	1	1	2	1	1	2	2	3	1	LOC411466	XP_026301274.1	Amel	XM_026445489.1	NonCanon
ORTHOMCL1007	null	1	1	1	1	2	1	2	1	1	1	5	LOC409103	XP_006568665.1	Amel	XM_006568602.2	NonCanon
ORTHOMCL1012	null	1	1	4	4	1	1	1	1	1	1	1	LOC724256	XP_006566840.1	Amel	XM_006566777.2	NonCanon
ORTHOMCL1013	null	1	1	1	1	1	1	1	2	2	1	5	LOC408303	XP_391854.1	Amel	XM_391854.7	NonCanon
ORTHOMCL1016	null	2	1	2	2	1	2	1	1	2	1	2	LOC411285	XP_016769115.1	Amel	XM_016913626.2	NonCanon
ORTHOMCL1023	null	2	1	1	2	2	2	1	2	1	2	1	LOC410583	XP_394061.2	Amel	XM_394061.6	NonCanon
ORTHOMCL1027	null	2	2	2	2	2	1	1	1	1	1	2	LOC100577156	XP_003250667.2	Amel	XM_003250619.4	NonCanon
ORTHOMCL1036	null	1	1	3	3	1	1	1	2	1	1	2	LOC410245	XP_393727.2	Amel	XM_393727.6	NonCanon
ORTHOMCL1044	null	1	1	4	2	1	1	5	1	1	0	0	LOC725318	XP_016773334.2	Amel	XM_016917845.2	NonCanon
ORTHOMCL1047	null	1	1	2	1	1	1	1	1	3	4	1	LOC410317	XP_006566375.1	Amel	XM_006566312.3	NonCanon
ORTHOMCL1053	null	2	1	2	2	1	1	2	3	1	1	1	LOC409662	XP_393160.1	Amel	XM_393160.7	NonCanon
ORTHOMCL1062	null	2	2	1	2	2	1	1	1	2	1	2	Pgrp-s2	NP_001157188.1	Amel	NM_001163716.1	NonCanon
ORTHOMCL1063	null	2	1	1	2	2	1	2	2	1	1	2	LOC409649	XP_016770062.1	Amel	XM_016914573.2	NonCanon
ORTHOMCL1067	null	1	1	2	3	1	1	1	2	1	1	3	LOC409945	XP_393437.3	Amel	XM_393437.7	NonCanon
ORTHOMCL1078	null	1	1	3	5	1	1	1	1	1	1	1	LOC409511	XP_393018.4	Amel	XM_393018.7	NonCanon
ORTHOMCL1166	null	2	1	1	2	1	2	1	1	1	2	2	LOC552479	XP_026301120.1	Amel	XM_026445335.1	NonCanon
ORTHOMCL1182	null	1	1	3	4	1	1	1	1	1	1	1	LOC725856	XP_026300381.1	Amel	XM_026444596.1	NonCanon
ORTHOMCL1188	null	3	1	1	1	2	1	1	1	1	1	3	egh	NP_001229485.1	Amel	NM_001242556.1	NonCanon
ORTHOMCL1197	null	1	1	3	3	1	1	1	1	1	1	2	LOC724366	XP_003249459.1	Amel	XM_003249411.3	NonCanon
ORTHOMCL1209	null	2	1	2	1	2	1	1	1	2	2	1	LOC724292	XP_026300207.1	Amel	XM_026444422.1	NonCanon
ORTHOMCL1218	null	1	1	1	5	2	1	1	1	1	1	1	LOC107964089	XP_026302245.1	Amel	XM_026446460.1	NonCanon
ORTHOMCL1227	null	1	1	3	2	2	1	2	1	1	1	1	LOC411799	XP_395266.4	Amel	XM_395266.7	NonCanon
ORTHOMCL1228	null	1	1	1	1	5	1	1	1	1	1	2	LOC552794	XP_026297995.1	Amel	XM_026442210.1	NonCanon
ORTHOMCL1261	null	2	1	2	2	2	1	1	2	1	1	1	LOC551261	XP_026297903.1	Amel	XM_026442118.1	NonCanon
ORTHOMCL1270	null	2	1	1	1	6	0	1	1	1	1	1	LOC726240	XP_001121996.2	Amel	XM_001121996.5	NonCanon
ORTHOMCL1282	null	1	1	2	2	1	1	1	1	1	1	4	LOC411731	XP_016769242.1	Amel	XM_016913753.2	NonCanon
ORTHOMCL1284	null	1	1	1	1	3	1	2	2	1	1	2	LOC726498	XP_001122230.1	Amel	XM_001122230.5	NonCanon
ORTHOMCL1286	null	1	1	1	5	1	1	1	2	1	1	1	LOC410577	XP_394055.2	Amel	XM_394055.7	NonCanon
ORTHOMCL1292	null	3	1	1	1	1	1	2	1	1	2	2	LOC410672	XP_006571436.1	Amel	XM_006571373.3	NonCanon
ORTHOMCL1310	null	1	1	2	1	1	1	2	2	1	1	3	LOC412348	XP_016770813.1	Amel	XM_016915324.2	NonCanon
ORTHOMCL1311	null	1	2	1	2	2	1	2	1	2	1	1	LOC552229	XP_016770320.2	Amel	XM_016914831.2	NonCanon
ORTHOMCL1319	null	1	1	1	1	2	1	1	1	1	1	5	LOC724339	XP_001120160.2	Amel	XM_001120160.5	NonCanon
ORTHOMCL1323	null	1	1	1	5	1	1	2	1	0	1	2	LOC411910	XP_006570705.1	Amel	XM_006570642.3	NonCanon
ORTHOMCL1332	null	1	1	2	1	3	1	1	1	2	1	2	LOC410938	XP_016766973.1	Amel	XM_016911484.2	NonCanon
ORTHOMCL1337	null	1	1	3	4	1	1	2	0	1	1	1	LOC411691	XP_395159.2	Amel	XM_395159.5	NonCanon
ORTHOMCL1345	null	1	1	1	1	1	1	1	1	2	1	5	LOC411552	XP_395023.4	Amel	XM_395023.7	NonCanon
ORTHOMCL1346	null	0	1	4	3	2	0	1	1	1	1	2	LOC100578811	XP_016769728.1	Amel	XM_016914239.2	NonCanon
ORTHOMCL1356	null	4	1	1	1	1	1	1	1	1	1	2	LOC726118	XP_001120695.1	Amel	XM_001120695.5	NonCanon
ORTHOMCL1357	null	1	1	1	1	3	1	2	1	1	1	2	LOC551581	XP_006568174.2	Amel	XM_006568111.3	NonCanon
ORTHOMCL1358	null	1	1	3	3	1	1	1	1	1	1	1	LOC724218	XP_006569994.1	Amel	XM_006569931.3	NonCanon
ORTHOMCL1364	null	1	1	1	1	2	1	2	1	2	2	1	LOC411347	XP_026298773.1	Amel	XM_026442988.1	NonCanon
ORTHOMCL1365	null	2	1	1	1	2	1	3	1	1	1	1	LOC552124	XP_624507.1	Amel	XM_624504.4	NonCanon
ORTHOMCL1368	null	1	1	1	1	1	1	1	1	1	1	5	LOC100577797	XP_006560007.3	Amel	XM_006559944.3	NonCanon
ORTHOMCL1370	null	1	1	2	2	2	1	2	1	1	1	1	LOC413065	XP_006559900.1	Amel	XM_006559837.3	NonCanon
ORTHOMCL1371	null	2	1	2	1	1	1	2	1	1	1	2	LOC412287	XP_395748.2	Amel	XM_395748.7	NonCanon
ORTHOMCL1390	null	1	1	1	1	1	1	4	1	1	2	1	LOC550749	XP_026296472.1	Amel	XM_026440687.1	NonCanon
ORTHOMCL1396	null	2	1	1	2	1	1	2	1	1	1	2	LOC550804	XP_623357.1	Amel	XM_623354.5	NonCanon
ORTHOMCL1404	null	3	1	1	1	1	1	1	1	1	2	2	LOC725261	XP_016768764.1	Amel	XM_016913275.2	NonCanon
ORTHOMCL1410	null	2	1	1	2	2	1	1	1	1	1	2	LOC411722	XP_026302249.1	Amel	XM_026446464.1	NonCanon
ORTHOMCL1433	null	1	1	1	2	3	1	1	1	1	1	2	LOC410379	XP_006566923.2	Amel	XM_006566860.3	NonCanon
ORTHOMCL1434	null	1	1	3	3	1	1	1	1	1	1	1	LOC412580	XP_396035.2	Amel	XM_396035.6	NonCanon
ORTHOMCL1435	null	3	1	2	2	1	1	1	1	1	1	1	LOC412005	XP_395471.3	Amel	XM_395471.6	NonCanon
ORTHOMCL1442	null	3	1	1	1	2	1	2	1	1	1	1	LOC552643	XP_006567507.1	Amel	XM_006567444.3	NonCanon
ORTHOMCL1454	null	1	1	1	1	1	2	1	1	4	1	1	LOC724432	XP_006564230.1	Amel	XM_006564167.3	NonCanon
ORTHOMCL1463	null	1	1	1	1	3	1	1	1	1	1	3	LOC725881	XP_006571016.1	Amel	XM_006570953.2	NonCanon
ORTHOMCL1465	null	1	1	2	1	1	1	1	1	1	1	4	LOC413575	XP_006571359.2	Amel	XM_006571296.3	NonCanon
ORTHOMCL1469	null	1	1	2	1	2	1	3	1	1	1	1	LOC552278	XP_624657.2	Amel	XM_624654.5	NonCanon
ORTHOMCL1471	null	1	1	1	4	1	1	1	2	1	1	1	LOC411006	XP_006567277.1	Amel	XM_006567214.3	NonCanon
ORTHOMCL1475	null	2	1	1	1	0	4	1	1	1	1	2	LOC412166	XP_026295893.1	Amel	XM_026440108.1	NonCanon
ORTHOMCL1482	null	1	1	2	2	1	1	1	1	1	1	3	LOC724341	XP_006568873.1	Amel	XM_006568810.1	NonCanon
