GeneID	name	Family.ID	source	TranscriptID	Class
Crzr	NP_001137393.1	ORTHOMCL665	Amel	NM_001143921.1	NA
CSP1	NP_001071288.1	ORTHOMCL8927	Amel	NM_001077820.1	NonCanon
CSP2	NP_001071278.1	ORTHOMCL6410	Amel	NM_001077810.1	NA
CSP3	NP_001011583.1	ORTHOMCL7783	Amel	NM_001011583.2	NA
CSP4	NP_001071282.1	ORTHOMCL1947	Amel	NM_001077814.1	NA
CSP6	NP_001071287.1	ORTHOMCL4117	Amel	NM_001077819.1	NonCanon
CTL5	NP_001229926.1	ORTHOMCL6683	Amel	NM_001242997.1	NA
CUTA	NP_001229386.1	ORTHOMCL4498	Amel	NM_001242457.1	NA
Cyp314a1	NP_001035347.1	ORTHOMCL625	Amel	NM_001040257.1	NA
Cyp4g11	NP_001035323.1	ORTHOMCL543	Amel	NM_001040233.1	NA
CYP6AQ1	NP_001191991.1	ORTHOMCL95	Amel	NM_001205062.1	NonCanon
Cyp6as5	NP_001035324.1	ORTHOMCL3	Amel	NM_001040234.1	NA
CytC	NP_001170961.1	ORTHOMCL1844	Amel	NM_001177490.1	Canon
Dcr-1	NP_001116485.2	ORTHOMCL4874	Amel	NM_001123013.2	Canon
Def1	NP_001011616.2	ORTHOMCL3761	Amel	NM_001011616.2	Canon
Def2	NP_001011638.1	ORTHOMCL8479	Amel	NM_001011638.1	Canon
DHRS4	NP_001263356.1	ORTHOMCL8405	Amel	NM_001276427.1	NA
Dl	NP_001164477.1	ORTHOMCL890	Amel	NM_001171006.1	Canon
Dll	NP_001124509.1	ORTHOMCL7575	Amel	NM_001131037.1	NonCanon
Dnmt1a	NP_001164522.1	ORTHOMCL30	Amel	NM_001171051.1	NonCanon
Dnmt3	NP_001177350.1	ORTHOMCL1758	Amel	NM_001190421.1	NonCanon
Dop1	NP_001011595.1	ORTHOMCL6844	Amel	NM_001011595.1	NA
Dop3	NP_001014983.1	ORTHOMCL7283	Amel	NM_001014983.1	NA
DopR2	NP_001011567.1	ORTHOMCL2577	Amel	NM_001011567.1	NA
Dscam	NP_001014991.1	ORTHOMCL31	Amel	NM_001014991.1	NA
Dsx	NP_001128408.1	ORTHOMCL2690	Amel	NM_001134936.1	NA
E74	NP_001011631.1	ORTHOMCL5920	Amel	NM_001011631.1	NA
E75	NP_001073579.1	ORTHOMCL987	Amel	NM_001080110.1	NA
Eaat-2	NP_001011597.1	ORTHOMCL1271	Amel	NM_001011597.1	NA
ecd	NP_001229364.1	ORTHOMCL4481	Amel	NM_001242435.1	NA
Ecr	NP_001091685.2	ORTHOMCL6948	Amel	NM_001098215.2	NonCanon
Ef-1a-f1	NP_001011628.1	ORTHOMCL51	Amel	NM_001011628.2	NA
egh	NP_001229485.1	ORTHOMCL1188	Amel	NM_001242556.1	NonCanon
Eif3h	NP_001229449.1	ORTHOMCL7037	Amel	NM_001242520.1	NA
Eif4g	NP_001177977.2	ORTHOMCL3716	Amel	NM_001191048.2	NA
Emc	NP_001135436.1	ORTHOMCL3489	Amel	NM_001141964.1	NA
EphR	NP_001013024.1	ORTHOMCL695	Amel	NM_001013006.1	NA
Err	NP_001155988.1	ORTHOMCL1505	Amel	NM_001162516.1	NA
Eth	NP_001136079.1	ORTHOMCL5547	Amel	NM_001142607.1	NA
Ets97D-like	NP_001229471.1	ORTHOMCL4465	Amel	NM_001242542.1	NA
eve	NP_001239357.1	ORTHOMCL7780	Amel	NM_001252428.1	NA
Eyg	NP_001107660.1	ORTHOMCL2906	Amel	NM_001114188.1	NA
Fabp	NP_001011636.1	ORTHOMCL9107	Amel	NM_001011636.1	NA
FAR1	NP_001180219.1	ORTHOMCL126	Amel	NM_001193290.1	NonCanon
Fem	NP_001128300.1	ORTHOMCL859	Amel	NM_001134828.1	NA
Fibroin1	NP_001129678.1	ORTHOMCL9238	Amel	NM_001136206.1	NA
Fibroin2	NP_001129679.1	ORTHOMCL5847	Amel	NM_001136207.1	NA
Fibroin4	NP_001129681.1	ORTHOMCL10423	Amel	NM_001136209.1	NA
For	NP_001011581.1	ORTHOMCL16	Amel	NM_001011581.1	NA
Foxp	NP_001098419.1	ORTHOMCL1619	Amel	NM_001104949.1	NA
Fstl5	NP_001027532.1	ORTHOMCL3807	Amel	NM_001032361.1	NA
Gat-1B	NP_001011643.1	ORTHOMCL14	Amel	NM_001011643.1	NonCanon
Gb15078	NP_001035293.1	ORTHOMCL7592	Amel	NM_001040203.1	NA
GlnS	NP_001164445.1	ORTHOMCL3450	Amel	NM_001170974.1	NonCanon
Glob1	NP_001071291.1	ORTHOMCL1030	Amel	NM_001077823.2	NA
GluCl	NP_001071277.1	ORTHOMCL9123	Amel	NM_001077809.1	NA
Glurb	NP_001011623.1	ORTHOMCL24	Amel	NM_001011623.1	NA
Gpdh	NP_001014994.1	ORTHOMCL714	Amel	NM_001014994.1	NA
Gr10	NP_001229923.1	ORTHOMCL9429	Amel	NM_001242994.1	NA
Grd	NP_001292813.1	ORTHOMCL8133	Amel	NM_001305884.1	NA
Grp	NP_001136109.1	ORTHOMCL8701	Amel	NM_001142637.1	NA
Gstcd	NP_001193395.1	ORTHOMCL5345	Amel	NM_001206466.1	NA
GstD1	NP_001171499.1	ORTHOMCL2971	Amel	NM_001178028.1	NonCanon
GstS1	NP_001153742.1	ORTHOMCL314	Amel	NM_001160270.1	NonCanon
GstS4	NP_001136128.1	ORTHOMCL2261	Amel	NM_001142656.2	NonCanon
Gtpx1	NP_001171493.1	ORTHOMCL8085	Amel	NM_001178022.1	NA
Gycbeta1	NP_001011632.1	ORTHOMCL4599	Amel	NM_001011632.2	NA
H	NP_001124510.1	ORTHOMCL3358	Amel	NM_001131038.1	NA
Hb	NP_001239355.1	ORTHOMCL7540	Amel	NM_001252426.1	NA
Hbg3	NP_001011608.1	ORTHOMCL48	Amel	NM_001011608.1	NonCanon
Hex110	NP_001094493.1	ORTHOMCL5471	Amel	NM_001101023.1	NA
HEX70b	NP_001011600.1	ORTHOMCL158	Amel	NM_001011600.1	NonCanon
Hiscl1	NP_001071279.1	ORTHOMCL670	Amel	NM_001077811.1	NA
Ho	NP_001011641.1	ORTHOMCL4361	Amel	NM_001011641.1	NA
Hsc70-5	NP_001153520.1	ORTHOMCL13	Amel	NM_001160048.1	NA
Hsp90	NP_001153536.1	ORTHOMCL94	Amel	NM_001160064.1	NA
IF-2mt	NP_001011586.1	ORTHOMCL6723	Amel	NM_001011586.1	NA
ILP-2	NP_001171374.1	ORTHOMCL2600	Amel	NM_001177903.1	NA
Imd	NP_001157189.1	ORTHOMCL638	Amel	NM_001163717.1	Canon
Ing3	NP_001229446.1	ORTHOMCL6474	Amel	NM_001242517.1	NA
INTS8	NP_001229315.1	ORTHOMCL250	Amel	NM_001242386.1	NA
Ip3k	NP_001014992.2	ORTHOMCL2153	Amel	NM_001014992.2	NA
JHBP-1	NP_001011640.1	ORTHOMCL8197	Amel	NM_001011640.1	NA
Jhe	NP_001011563.1	ORTHOMCL406	Amel	NM_001011563.1	NonCanon
Jtb	NP_001193396.1	ORTHOMCL6121	Amel	NM_001206467.1	NonCanon
KAT2A	NP_001229397.1	ORTHOMCL2429	Amel	NM_001242468.1	NonCanon
Kr	NP_001239353.1	ORTHOMCL6824	Amel	NM_001252424.1	NA
Kr-h1	NP_001011566.1	ORTHOMCL313	Amel	NM_001011566.1	NA
LCCH3	NP_001071280.1	ORTHOMCL2546	Amel	NM_001077812.1	NA
Lin-52	NP_001158282.1	ORTHOMCL4701	Amel	NM_001164810.1	NA
LOC100187599	NP_001127805.1	ORTHOMCL6765	Amel	NM_001134333.1	NA
LOC100188904	NP_001128141.1	ORTHOMCL8766	Amel	NM_001134669.1	NA
LOC100188940	NP_001128194.1	ORTHOMCL4843	Amel	NM_001134722.1	NonCanon
LOC100217360	NP_001136165.1	ORTHOMCL5356	Amel	NM_001142693.1	NA
LOC100302106	NP_001155260.1	ORTHOMCL9912	Amel	NM_001161788.1	NonCanon
LOC100379261	NP_001166189.1	ORTHOMCL3479	Amel	NM_001172718.1	NonCanon
LOC100576082	XP_016771904.2	ORTHOMCL8713	Amel	XM_016916415.2	NA
LOC100576085	XP_026298573.1	ORTHOMCL8029	Amel	XM_026442788.1	NonCanon
LOC100576088	XP_026302044.1	ORTHOMCL7899	Amel	XM_026446259.1	NA
LOC100576093	XP_006558247.3	ORTHOMCL6034	Amel	XM_006558184.3	NA
LOC100576097	XP_026301346.1	ORTHOMCL1997	Amel	XM_026445561.1	NA
LOC100576098	XP_026295387.1	ORTHOMCL8421	Amel	XM_026439602.1	NA
LOC100576099	XP_006564549.1	ORTHOMCL5330	Amel	XM_006564486.3	NonCanon
LOC100576100	XP_016767406.1	ORTHOMCL4618	Amel	XM_016911917.2	NA
LOC100576101	XP_016767636.1	ORTHOMCL8218	Amel	XM_016912147.1	NA
LOC100576104	XP_003251352.1	ORTHOMCL5476	Amel	XM_003251304.4	NA
LOC100576106	XP_003251506.2	ORTHOMCL4835	Amel	XM_003251458.4	NA
LOC100576115	XP_026301415.1	ORTHOMCL2374	Amel	XM_026445630.1	NonCanon
LOC100576116	XP_003250417.1	ORTHOMCL1542	Amel	XM_003250369.4	NA
LOC100576118	XP_006568995.1	ORTHOMCL8666	Amel	XM_006568932.3	NA
LOC100576121	XP_003249151.1	ORTHOMCL7525	Amel	XM_003249103.4	NA
LOC100576125	XP_006562710.2	ORTHOMCL8113	Amel	XM_006562647.3	NonCanon
LOC100576126	XP_026297916.1	ORTHOMCL9055	Amel	XM_026442131.1	NA
LOC100576128	XP_026300973.1	ORTHOMCL6374	Amel	XM_026445188.1	NA
LOC100576129	XP_006565631.1	ORTHOMCL2353	Amel	XM_006565568.3	NA
LOC100576130	XP_026299101.1	ORTHOMCL4444	Amel	XM_026443316.1	NA
LOC100576131	XP_006569625.1	ORTHOMCL7784	Amel	XM_006569562.3	NA
LOC100576132	XP_003251757.2	ORTHOMCL3863	Amel	XM_003251709.4	NA
LOC100576134	XP_006557857.1	ORTHOMCL3045	Amel	XM_006557794.3	NA
LOC100576135	XP_026295988.1	ORTHOMCL3720	Amel	XM_026440203.1	NA
LOC100576136	XP_016771932.2	ORTHOMCL7895	Amel	XM_016916443.2	NA
LOC100576140	XP_003250480.1	ORTHOMCL7990	Amel	XM_003250432.4	NA
LOC100576143	XP_003251662.1	ORTHOMCL1769	Amel	XM_003251614.4	NA
LOC100576146	XP_016768578.1	ORTHOMCL182	Amel	XM_016913089.2	NA
LOC100576147	XP_006559945.2	ORTHOMCL6476	Amel	XM_006559882.3	NA
LOC100576150	XP_003250331.2	ORTHOMCL8805	Amel	XM_003250283.3	NA
LOC100576151	XP_003250418.1	ORTHOMCL2876	Amel	XM_003250370.4	NA
LOC100576152	XP_003250708.2	ORTHOMCL7629	Amel	XM_003250660.4	NA
LOC100576153	XP_026299403.1	ORTHOMCL8017	Amel	XM_026443618.1	NA
LOC100576155	XP_026296577.1	ORTHOMCL8968	Amel	XM_026440792.1	NA
LOC100576157	XP_026299858.1	ORTHOMCL7944	Amel	XM_026444073.1	NA
LOC100576159	XP_026301425.1	ORTHOMCL5880	Amel	XM_026445640.1	NA
LOC100576162	XP_003250108.1	ORTHOMCL7708	Amel	XM_003250060.4	NA
LOC100576163	XP_003250155.1	ORTHOMCL4227	Amel	XM_003250107.4	NA
LOC100576165	XP_003250517.1	ORTHOMCL2304	Amel	XM_003250469.4	NA
LOC100576167	XP_016769530.1	ORTHOMCL6437	Amel	XM_016914041.2	NA
LOC100576169	XP_003251700.2	ORTHOMCL980	Amel	XM_003251652.4	NA
LOC100576170	XP_003251865.2	ORTHOMCL8850	Amel	XM_003251817.4	NA
LOC100576172	XP_016768115.2	ORTHOMCL9938	Amel	XM_016912626.2	NA
LOC100576174	XP_003249688.1	ORTHOMCL5020	Amel	XM_003249640.4	NA
LOC100576176	XP_016770410.1	ORTHOMCL5689	Amel	XM_016914921.2	NA
LOC100576182	XP_003249871.1	ORTHOMCL3211	Amel	XM_003249823.4	NA
LOC100576184	XP_003250709.1	ORTHOMCL5757	Amel	XM_003250661.4	NA
LOC100576185	XP_026299720.1	ORTHOMCL6518	Amel	XM_026443935.1	NonCanon
LOC100576187	XP_026298571.1	ORTHOMCL1546	Amel	XM_026442786.1	NA
LOC100576192	XP_006561939.1	ORTHOMCL8163	Amel	XM_006561876.3	NA
LOC100576193	XP_006562941.1	ORTHOMCL2417	Amel	XM_006562878.3	NA
LOC100576194	XP_003250310.2	ORTHOMCL5125	Amel	XM_003250262.4	NA
LOC100576195	XP_003250551.1	ORTHOMCL5523	Amel	XM_003250503.4	NonCanon
LOC100576196	XP_006565642.2	ORTHOMCL1032	Amel	XM_006565579.3	NA
LOC100576198	XP_003251162.2	ORTHOMCL2663	Amel	XM_003251114.3	NA
LOC100576215	XP_003250495.1	ORTHOMCL4029	Amel	XM_003250447.4	NA
LOC100576216	XP_016767897.1	ORTHOMCL266	Amel	XM_016912408.2	NA
LOC100576217	XP_026299157.1	ORTHOMCL2234	Amel	XM_026443372.1	NA
LOC100576220	XP_003249297.2	ORTHOMCL3699	Amel	XM_003249249.4	NA
LOC100576221	XP_026301142.1	ORTHOMCL1936	Amel	XM_026445357.1	NA
LOC100576222	XP_003250109.1	ORTHOMCL7034	Amel	XM_003250061.4	NA
LOC100576223	XP_026299180.1	ORTHOMCL2565	Amel	XM_026443395.1	NA
LOC100576224	XP_016772150.1	ORTHOMCL8939	Amel	XM_016916661.2	NonCanon
LOC100576225	XP_026299862.1	ORTHOMCL8903	Amel	XM_026444077.1	NA
LOC100576226	XP_006565007.3	ORTHOMCL7533	Amel	XM_006564944.3	NA
LOC100576227	XP_003250613.3	ORTHOMCL4647	Amel	XM_003250565.4	NA
LOC100576233	XP_026297166.1	ORTHOMCL3090	Amel	XM_026441381.1	NA
LOC100576247	XP_006559289.1	ORTHOMCL1168	Amel	XM_006559226.3	NA
LOC100576248	XP_026300423.1	ORTHOMCL1250	Amel	XM_026444638.1	NA
LOC100576249	XP_016766410.2	ORTHOMCL3030	Amel	XM_016910921.2	NA
LOC100576251	XP_016771752.1	ORTHOMCL468	Amel	XM_016916263.2	NA
LOC100576258	XP_003251741.1	ORTHOMCL8339	Amel	XM_003251693.4	NA
LOC100576260	XP_006557735.1	ORTHOMCL10334	Amel	XM_006557672.3	NA
LOC100576261	XP_016769520.2	ORTHOMCL5774	Amel	XM_016914031.2	NA
LOC100576262	XP_006560760.1	ORTHOMCL7971	Amel	XM_006560697.3	NA
LOC100576265	XP_026300706.1	ORTHOMCL8207	Amel	XM_026444921.1	NA
LOC100576266	XP_003250614.1	ORTHOMCL4208	Amel	XM_003250566.4	NA
LOC100576270	XP_003251902.3	ORTHOMCL5481	Amel	XM_003251854.4	NA
LOC100576272	XP_003249995.1	ORTHOMCL5597	Amel	XM_003249947.4	NA
LOC100576273	XP_003250259.1	ORTHOMCL6263	Amel	XM_003250211.4	NA
LOC100576274	XP_006564292.2	ORTHOMCL2480	Amel	XM_006564229.3	NA
LOC100576284	XP_003250738.3	ORTHOMCL4614	Amel	XM_003250690.4	NA
LOC100576286	XP_026299728.1	ORTHOMCL1304	Amel	XM_026443943.1	NA
LOC100576289	XP_003249427.1	ORTHOMCL8103	Amel	XM_003249379.4	NA
LOC100576290	XP_006561020.1	ORTHOMCL3220	Amel	XM_006560957.3	NA
LOC100576291	XP_016767975.2	ORTHOMCL1540	Amel	XM_016912486.2	NA
LOC100576293	XP_003250662.1	ORTHOMCL189	Amel	XM_003250614.4	NA
LOC100576296	XP_003251824.1	ORTHOMCL3166	Amel	XM_003251776.4	NA
LOC100576298	XP_026297645.1	ORTHOMCL7509	Amel	XM_026441860.1	NA
LOC100576300	XP_016769141.2	ORTHOMCL6453	Amel	XM_016913652.2	NA
LOC100576304	XP_026297186.1	ORTHOMCL7054	Amel	XM_026441401.1	NA
LOC100576307	XP_006570560.1	ORTHOMCL2914	Amel	XM_006570497.3	NA
LOC100576320	XP_006561220.1	ORTHOMCL1708	Amel	XM_006561157.3	NA
LOC100576321	XP_026295289.1	ORTHOMCL1417	Amel	XM_026439504.1	NA
LOC100576326	XP_016769185.2	ORTHOMCL380	Amel	XM_016913696.2	NA
LOC100576330	XP_006563622.1	ORTHOMCL10393	Amel	XM_006563559.3	NA
LOC100576333	XP_003251353.1	ORTHOMCL7272	Amel	XM_003251305.4	NA
LOC100576336	XP_026297357.1	ORTHOMCL3865	Amel	XM_026441572.1	NA
LOC100576337	XP_026296912.1	ORTHOMCL3752	Amel	XM_026441127.1	NonCanon
LOC100576346	XP_006569999.3	ORTHOMCL5021	Amel	XM_006569936.3	NA
LOC100576348	XP_006572020.1	ORTHOMCL2093	Amel	XM_006571957.3	NA
LOC100576349	XP_003251882.2	ORTHOMCL1447	Amel	XM_003251834.4	NA
LOC100576355	XP_003251034.1	ORTHOMCL1432	Amel	XM_003250986.4	NA
LOC100576359	XP_016767931.1	ORTHOMCL203	Amel	XM_016912442.2	NA
LOC100576361	XP_016767529.2	ORTHOMCL1658	Amel	XM_016912040.2	NA
LOC100576366	XP_003251354.2	ORTHOMCL6538	Amel	XM_003251306.4	NA
LOC100576369	XP_003249075.1	ORTHOMCL220	Amel	XM_003249027.4	NA
LOC100576370	XP_026299536.1	ORTHOMCL9653	Amel	XM_026443751.1	NA
LOC100576373	XP_016771115.2	ORTHOMCL5460	Amel	XM_016915626.2	NA
LOC100576374	XP_026301029.1	ORTHOMCL7347	Amel	XM_026445244.1	NA
LOC100576378	XP_026296549.1	ORTHOMCL8397	Amel	XM_026440764.1	NA
LOC100576381	XP_016769137.1	ORTHOMCL3046	Amel	XM_016913648.2	NA
LOC100576382	XP_026298355.1	ORTHOMCL4098	Amel	XM_026442570.1	NA
LOC100576383	XP_026296272.1	ORTHOMCL8577	Amel	XM_026440487.1	NonCanon
LOC100576384	XP_026301675.1	ORTHOMCL3441	Amel	XM_026445890.1	NA
LOC100576387	XP_026299068.1	ORTHOMCL8634	Amel	XM_026443283.1	NA
LOC100576392	XP_016770395.1	ORTHOMCL1497	Amel	XM_016914906.2	NA
LOC100576400	XP_003250111.1	ORTHOMCL7352	Amel	XM_003250063.4	NA
LOC100576401	XP_006564751.1	ORTHOMCL8739	Amel	XM_006564688.3	NA
LOC100576402	XP_006565864.2	ORTHOMCL2674	Amel	XM_006565801.3	NA
LOC100576404	XP_006570014.1	ORTHOMCL8219	Amel	XM_006569951.2	NA
LOC100576410	XP_016772443.2	ORTHOMCL4477	Amel	XM_016916954.2	NA
LOC100576411	XP_003250261.1	ORTHOMCL4479	Amel	XM_003250213.4	NonCanon
LOC100576412	XP_003250992.1	ORTHOMCL3363	Amel	XM_003250944.4	NA
LOC100576413	XP_026296841.1	ORTHOMCL3430	Amel	XM_026441056.1	NA
LOC100576414	NP_001314876.1	ORTHOMCL8104	Amel	NM_001327947.1	NA
LOC100576418	XP_006561108.1	ORTHOMCL6075	Amel	XM_006561045.3	NA
LOC100576421	XP_006566791.1	ORTHOMCL6192	Amel	XM_006566728.3	NA
LOC100576422	XP_006566942.2	ORTHOMCL2290	Amel	XM_006566879.2	NA
LOC100576425	XP_006571760.3	ORTHOMCL8196	Amel	XM_006571697.3	NA
LOC100576428	XP_006558364.1	ORTHOMCL8171	Amel	XM_006558301.3	NA
LOC100576432	XP_003250286.1	ORTHOMCL4181	Amel	XM_003250238.4	NA
LOC100576433	XP_003250740.3	ORTHOMCL1330	Amel	XM_003250692.4	NA
LOC100576434	XP_006569961.1	ORTHOMCL3181	Amel	XM_006569898.3	NA
LOC100576435	XP_006570884.1	ORTHOMCL2096	Amel	XM_006570821.3	NA
LOC100576436	XP_026298451.1	ORTHOMCL5737	Amel	XM_026442666.1	NA
LOC100576438	XP_026299121.1	ORTHOMCL3332	Amel	XM_026443336.1	NA
LOC100576439	XP_026298731.1	ORTHOMCL1196	Amel	XM_026442946.1	NA
LOC100576444	XP_003250085.1	ORTHOMCL7104	Amel	XM_003250037.4	NA
LOC100576447	NP_001265267.1	ORTHOMCL7167	Amel	NM_001278338.1	NA
LOC100576449	XP_006557966.1	ORTHOMCL2905	Amel	XM_006557903.3	NA
LOC100576453	XP_006569404.2	ORTHOMCL6167	Amel	XM_006569341.3	NA
LOC100576454	XP_006571440.2	ORTHOMCL2126	Amel	XM_006571377.3	NA
LOC100576457	XP_003249153.1	ORTHOMCL5063	Amel	XM_003249105.4	NonCanon
LOC100576458	XP_006558393.2	ORTHOMCL8257	Amel	XM_006558330.3	NA
LOC100576460	XP_003250394.3	ORTHOMCL7076	Amel	XM_003250346.4	NA
LOC100576461	XP_026301018.1	ORTHOMCL7206	Amel	XM_026445233.1	NA
LOC100576462	XP_003250826.2	ORTHOMCL8722	Amel	XM_003250778.4	NA
LOC100576467	XP_003249300.1	ORTHOMCL6365	Amel	XM_003249252.4	NA
LOC100576471	XP_003249875.4	ORTHOMCL4056	Amel	XM_003249827.4	NA
LOC100576472	XP_026299031.1	ORTHOMCL1536	Amel	XM_026443246.1	NA
LOC100576473	XP_016770287.1	ORTHOMCL9457	Amel	XM_016914798.2	NA
LOC100576476	XP_026296203.1	ORTHOMCL8749	Amel	XM_026440418.1	NA
LOC100576482	XP_006565410.2	ORTHOMCL7362	Amel	XM_006565347.3	NA
LOC100576484	XP_003250976.2	ORTHOMCL10274	Amel	XM_003250928.4	NA
LOC100576487	XP_003249154.1	ORTHOMCL4043	Amel	XM_003249106.4	NA
LOC100576488	XP_016770842.2	ORTHOMCL8538	Amel	XM_016915353.2	NA
LOC100576492	XP_016768733.1	ORTHOMCL6304	Amel	XM_016913244.2	NA
LOC100576498	XP_026295994.1	ORTHOMCL10283	Amel	XM_026440209.1	NA
