	pvalue	GeneID	name	source	TranscriptID	Class	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
ORTHOMCL110	0.0	LOC551742	XP_026300805.1	Amel	XM_026445020.1	Background		2	1	7	6	5	2	4	1	0	2	2
ORTHOMCL111	0.0	LOC413468	XP_006568157.1	Amel	XM_006568094.3	Background		3	1	2	2	5	1	7	8	1	1	1
ORTHOMCL113	0.002	LOC409646	XP_016770148.1	Amel	XM_016914659.2	Background		2	2	4	1	5	3	5	3	2	2	3
ORTHOMCL115	0.0	LOC410085	XP_006559501.1	Amel	XM_006559438.3	Background		1	1	6	6	1	4	3	3	1	1	5
ORTHOMCL122	0.0	Adk1	NP_001164443.1	Amel	NM_001170972.1	Background		1	1	5	7	1	2	4	7	1	1	1
ORTHOMCL124	0.0	LOC724781	XP_001120680.3	Amel	XM_001120680.5	Background		7	1	5	1	2	1	2	7	1	1	3
ORTHOMCL132	0.009000000000000001	LOC552311	XP_026302268.1	Amel	XM_026446483.1	Background		4	2	4	3	2	3	2	2	3	1	4
ORTHOMCL133	0.0	LOC408678	XP_006568900.1	Amel	XM_006568837.3	Background		6	2	2	3	2	2	4	2	3	2	2
ORTHOMCL134	0.0	LOC413582	XP_016771725.1	Amel	XM_016916236.2	Background		1	1	6	10	2	1	2	1	1	1	4
ORTHOMCL137	0.0	LOC552814	XP_026299668.1	Amel	XM_026443883.1	Background		2	2	6	2	5	2	3	2	2	2	2
ORTHOMCL139	0.0	LOC552382	XP_006567971.1	Amel	XM_006567908.2	Background		1	1	2	5	4	2	2	2	2	2	7
ORTHOMCL140	0.0	LOC100578606	XP_006571736.2	Amel	XM_006571673.3	Background		1	1	5	11	1	2	3	1	1	1	3
ORTHOMCL141	0.002	LOC724687	XP_001120578.2	Amel	XM_001120578.5	Background		2	2	3	2	2	2	4	7	1	2	3
ORTHOMCL142	0.006999999999999999	Nrx-1	NP_001139212.1	Amel	NM_001145740.1	Background		1	1	4	2	2	2	3	3	4	5	3
ORTHOMCL143	0.015	LOC411419	XP_006567974.1	Amel	XM_006567911.3	Background		2	2	3	2	3	3	2	3	1	2	7
ORTHOMCL144	0.0	LOC100578814	XP_026300077.1	Amel	XM_026444292.1	Background		1	1	7	12	1	1	1	1	1	1	3
ORTHOMCL145	0.0	LOC408408	XP_026300478.1	Amel	XM_026444693.1	Background		1	1	5	3	6	1	5	1	2	2	2
ORTHOMCL147	0.002	LOC551687	XP_026294961.1	Amel	XM_026439176.1	Background		3	1	6	5	3	2	1	2	2	2	2
ORTHOMCL149	0.002	LOC410675	XP_394152.2	Amel	XM_394152.7	Background		3	1	4	4	2	2	3	3	1	1	5
ORTHOMCL150	0.0	LOC412853	XP_003251836.1	Amel	XM_003251788.4	Background		4	1	1	8	3	1	1	1	1	1	7
ORTHOMCL153	0.017	LOC107964022	XP_026298537.1	Amel	XM_026442752.1	Background		2	3	3	3	4	4	0	3	1	3	3
ORTHOMCL154	0.0	LOC551780	XP_006559644.1	Amel	XM_006559581.3	Background		1	1	6	6	1	1	5	4	1	1	2
ORTHOMCL157	0.0	LOC412791	XP_026301178.1	Amel	XM_026445393.1	Background		2	2	2	3	2	2	1	2	1	2	10
ORTHOMCL159	0.002	LOC408874	XP_006570581.2	Amel	XM_006570518.3	Background		2	1	1	3	3	2	3	2	4	4	4
ORTHOMCL160	0.002	LOC552193	XP_624573.2	Amel	XM_624570.5	Background		1	2	3	2	6	2	4	2	1	2	4
ORTHOMCL161	0.0	LOC725452	XP_001120519.2	Amel	XM_001120519.5	Background		2	1	2	3	4	1	10	1	1	1	3
ORTHOMCL162	0.0	LOC724138	XP_001119871.2	Amel	XM_001119871.5	Background		1	1	7	12	2	1	1	1	1	1	1
ORTHOMCL164	0.0	LOC100578332	XP_026299577.1	Amel	XM_026443792.1	Background		1	1	9	9	1	3	1	1	1	1	1
ORTHOMCL165	0.0	Or53	NP_001229907.1	Amel	NM_001242978.1	Background		2	3	4	3	5	2	3	0	2	1	3
ORTHOMCL167	0.0	LOC102654975	XP_006562717.2	Amel	XM_006562654.3	Background		6	1	4	3	1	2	3	1	2	2	3
ORTHOMCL170	0.0	LOC413303	XP_026297714.1	Amel	XM_026441929.1	Background		3	2	2	5	1	5	2	2	1	2	3
ORTHOMCL176	0.0	LOC726283	XP_026295477.1	Amel	XM_026439692.1	Background		0	1	7	6	5	3	2	2	0	1	1
ORTHOMCL178	0.039	LOC724997	XP_001120899.3	Amel	XM_001120899.5	Background		4	2	2	2	5	2	2	2	1	2	3
ORTHOMCL181	0.04	LOC409882	XP_016767662.1	Amel	XM_016912173.2	Background		3	1	3	3	3	1	3	4	2	2	2
ORTHOMCL182	0.004	LOC100576146	XP_016768578.1	Amel	XM_016913089.2	Background		2	2	2	5	5	2	2	2	2	1	2
ORTHOMCL183	0.006999999999999999	LOC100578886	XP_026300643.1	Amel	XM_026444858.1	Background		3	3	4	3	1	1	2	1	3	2	4
ORTHOMCL186	0.005	LOC412927	XP_006560054.1	Amel	XM_006559991.3	Background		5	2	2	2	5	2	2	2	2	1	2
ORTHOMCL187	0.0	LOC408453	XP_006562363.1	Amel	XM_006562300.3	Background		2	3	2	4	4	4	2	1	3	2	0
ORTHOMCL189	0.0	LOC100576293	XP_003250662.1	Amel	XM_003250614.4	Background		3	1	1	2	1	1	1	1	1	1	14
ORTHOMCL192	0.0	LOC410394	XP_393874.3	Amel	XM_393874.5	Background		1	1	3	3	8	3	1	1	1	1	4
ORTHOMCL193	0.0	LOC726569	XP_026296777.1	Amel	XM_026440992.1	Background		2	1	6	5	5	1	3	1	1	1	1
ORTHOMCL194	0.002	LOC409613	XP_006563700.1	Amel	XM_006563637.2	Background		4	1	3	3	4	3	3	3	1	1	1
ORTHOMCL196	0.0	LOC413025	XP_016767886.2	Amel	XM_016912397.2	Background		1	1	1	5	2	1	3	1	1	1	10
ORTHOMCL197	0.0	LOC725076	XP_006561688.1	Amel	XM_006561625.2	Background		3	1	4	3	3	1	7	1	0	1	3
ORTHOMCL198	0.0	LOC551936	XP_624322.1	Amel	XM_624319.5	Background		1	1	1	4	1	1	1	2	1	1	13
ORTHOMCL199	0.0	LOC102654083	XP_026299531.1	Amel	XM_026443746.1	Background		1	1	6	7	6	1	1	1	1	1	1
ORTHOMCL202	0.0	LOC552757	XP_026301193.1	Amel	XM_026445408.1	Background		1	1	2	10	1	1	5	1	1	1	3
ORTHOMCL203	0.002	LOC100576359	XP_016767931.1	Amel	XM_016912442.2	Background		1	1	6	6	4	1	2	2	1	1	2
ORTHOMCL205	0.0	LOC409908	XP_026296970.1	Amel	XM_026441185.1	Background		5	1	3	4	1	3	1	5	1	1	1
ORTHOMCL206	0.0	LOC552425	XP_006565044.2	Amel	XM_006564981.3	Background		4	5	1	2	1	0	9	1	1	1	1
ORTHOMCL208	0.02	LOC408618	XP_026298461.1	Amel	XM_026442676.1	Background		4	1	3	3	2	2	2	3	2	2	2
ORTHOMCL209	0.006999999999999999	LOC411047	XP_006560607.2	Amel	XM_006560544.2	Background		1	2	2	3	2	3	3	5	2	2	1
ORTHOMCL211	0.0	LOC550664	XP_003250782.1	Amel	XM_003250734.4	Background		1	1	5	6	2	1	1	1	1	1	6
ORTHOMCL215	0.0	LOC725008	XP_001120910.2	Amel	XM_001120910.5	Background		1	1	5	6	6	1	2	1	1	1	1
ORTHOMCL219	0.0	LOC408685	XP_026295045.1	Amel	XM_026439260.1	Background		1	1	3	3	5	1	1	5	1	1	4
ORTHOMCL220	0.0	LOC100576369	XP_003249075.1	Amel	XM_003249027.4	Background		1	1	6	5	4	1	1	1	1	1	4
ORTHOMCL221	0.024	LOC409481	XP_392990.2	Amel	XM_392990.7	Background		2	1	2	2	2	4	3	4	1	1	4
ORTHOMCL222	0.049	LOC410779	XP_006571557.2	Amel	XM_006571494.3	Background		2	2	2	4	2	2	3	2	3	3	1
ORTHOMCL223	0.0	LOC409487	XP_392994.4	Amel	XM_392994.7	Background		1	1	3	3	4	3	7	1	1	1	1
ORTHOMCL224	0.009000000000000001	LOC552280	XP_026295498.1	Amel	XM_026439713.1	Background		2	2	2	5	3	2	2	3	1	1	3
ORTHOMCL225	0.009000000000000001	LOC551454	NP_001314886.1	Amel	NM_001327957.1	Background		2	4	1	2	2	3	2	3	3	3	1
ORTHOMCL230	0.0	LOC727309	XP_003250703.1	Amel	XM_003250655.4	Background		1	1	3	4	2	5	1	5	1	1	2
ORTHOMCL236	0.0	LOC413018	XP_006571185.1	Amel	XM_006571122.3	Background		1	1	3	5	4	5	2	1	1	1	1
ORTHOMCL239	0.009000000000000001	LOC410689	XP_006571248.1	Amel	XM_006571185.3	Background		3	1	3	3	3	3	3	1	1	1	3
ORTHOMCL244	0.042	LOC100578262	NP_001229447.1	Amel	NM_001242518.1	Background		5	2	2	2	2	2	2	3	1	2	2
ORTHOMCL246	0.01	LOC408398	XP_006557887.1	Amel	XM_006557824.3	Background		2	2	2	6	2	2	2	2	2	2	1
ORTHOMCL251	0.0	LOC724804	XP_026300873.1	Amel	XM_026445088.1	Background		4	1	3	3	1	1	8	1	1	1	1
ORTHOMCL252	0.040999999999999995	LOC411297	XP_026298813.1	Amel	XM_026443028.1	Background		3	2	1	3	2	2	3	2	2	2	3
ORTHOMCL254	0.0	LOC411678	XP_395146.3	Amel	XM_395146.7	Background		2	1	2	2	4	1	1	1	1	1	9
ORTHOMCL257	0.021	LOC100578512	XP_026298639.1	Amel	XM_026442854.1	Background		4	5	1	1	2	2	2	1	2	2	3
ORTHOMCL258	0.0	LOC410352	XP_006566517.1	Amel	XM_006566454.3	Background		1	1	5	5	1	1	1	1	1	1	7
ORTHOMCL259	0.002	LOC725169	XP_026296135.1	Amel	XM_026440350.1	Background		2	1	4	3	3	2	1	1	3	1	4
ORTHOMCL260	0.043	LOC725394	XP_016772111.2	Amel	XM_016916622.2	Background		1	2	4	2	3	2	2	2	2	2	3
ORTHOMCL262	0.0	LOC725617	XP_006561257.1	Amel	XM_006561194.3	Background		1	1	2	2	8	1	2	1	1	1	5
ORTHOMCL264	0.0	LOC724909	XP_016769779.1	Amel	XM_016914290.2	Background		2	1	3	3	3	1	2	1	1	1	7
ORTHOMCL266	0.002	LOC100576216	XP_016767897.1	Amel	XM_016912408.2	Background		2	1	4	3	2	2	2	2	1	1	5
ORTHOMCL267	0.0	LOC412606	XP_026299447.1	Amel	XM_026443662.1	Background		1	1	4	6	1	1	1	1	1	1	7
ORTHOMCL270	0.0	LOC724843	XP_006560866.2	Amel	XM_006560803.3	Background		1	1	5	4	1	3	1	1	1	1	6
ORTHOMCL271	0.0	LOC408374	XP_006562291.2	Amel	XM_006562228.3	Background		1	1	4	4	5	1	2	1	1	1	4
ORTHOMCL272	0.0	LOC550686	XP_623083.1	Amel	XM_623080.5	Background		1	1	4	3	5	2	4	1	1	1	2
ORTHOMCL275	0.0	LOC550724	XP_006571385.1	Amel	XM_006571322.3	Background		1	1	4	2	2	2	1	1	1	1	9
ORTHOMCL277	0.0	LOC409584	XP_393087.2	Amel	XM_393087.7	Background		1	1	7	7	3	1	1	1	1	1	1
ORTHOMCL279	0.0	LOC413309	XP_026299404.1	Amel	XM_026443619.1	Background		1	1	1	8	1	1	1	1	1	1	8
ORTHOMCL280	0.0	LOC724602	NP_001314890.1	Amel	NM_001327961.1	Background		1	1	6	5	4	1	3	1	1	1	1
ORTHOMCL282	0.0	LOC100578925	XP_016766990.1	Amel	XM_016911501.2	Background		1	1	4	3	4	1	6	1	1	1	1
ORTHOMCL284	0.043	LOC408311	XP_006566570.1	Amel	XM_006566507.3	Background		2	2	2	2	7	2	2	2	1	1	1
ORTHOMCL291	0.0	LOC409497	XP_006562919.1	Amel	XM_006562856.3	Background		3	1	7	1	1	1	2	2	1	1	4
ORTHOMCL292	0.0	LOC100578337	XP_003249519.2	Amel	XM_003249471.4	Background		3	1	1	5	4	1	4	1	1	2	1
ORTHOMCL294	0.009000000000000001	LOC408294	XP_006566068.1	Amel	XM_006566005.3	Background		1	1	4	2	3	3	3	2	1	1	3
ORTHOMCL295	0.006999999999999999	LOC724312	XP_001120116.2	Amel	XM_001120116.5	Background		3	3	1	1	6	2	3	1	1	1	2
ORTHOMCL296	0.0	LOC552753	XP_625132.2	Amel	XM_625129.6	Background		2	1	4	3	4	1	1	2	1	1	4
ORTHOMCL297	0.0	LOC727324	XP_006561748.1	Amel	XM_006561685.3	Background		3	1	3	10	1	1	1	1	1	1	1
ORTHOMCL303	0.0	LOC408480	XP_392026.2	Amel	XM_392026.7	Background		2	1	3	3	1	1	6	1	1	1	4
ORTHOMCL304	0.0	LOC552784	XP_016772239.1	Amel	XM_016916750.2	Background		3	1	5	3	1	2	1	1	2	2	3
ORTHOMCL306	0.0	LOC727247	XP_001122957.2	Amel	XM_001122957.5	Background		1	1	8	7	1	1	1	1	1	1	1
ORTHOMCL307	0.018000000000000002	LOC412055	XP_016769825.1	Amel	XM_016914336.2	Background		2	1	2	2	6	2	1	1	2	2	3
ORTHOMCL308	0.0	LOC551663	XP_006564731.1	Amel	XM_006564668.3	Background		2	1	1	2	2	1	5	5	2	1	2
ORTHOMCL312	0.0	LOC725575	XP_003250560.1	Amel	XM_003250512.4	Background		1	1	5	5	2	1	1	1	1	1	5
ORTHOMCL320	0.0	LOC409307	XP_026299446.1	Amel	XM_026443661.1	Background		2	1	2	3	8	3	1	1	1	1	1
ORTHOMCL322	0.002	LOC551410	XP_006565324.1	Amel	XM_006565261.3	Background		2	1	4	4	1	1	4	2	1	1	3
ORTHOMCL323	0.0	pHCl	NP_001137350.1	Amel	NM_001143878.1	Background		1	1	4	4	2	1	3	1	1	1	5
ORTHOMCL326	0.002	LOC725364	XP_016767919.1	Amel	XM_016912430.2	Background		1	1	2	1	4	1	3	3	1	1	6
ORTHOMCL329	0.0	LOC551597	XP_016766808.1	Amel	XM_016911319.2	Background		1	1	6	6	4	1	1	1	1	1	1
ORTHOMCL330	0.0	LOC551548	XP_016767875.1	Amel	XM_016912386.2	Background		1	1	4	9	1	1	1	3	1	1	1
ORTHOMCL337	0.0	LOC552697	XP_006557622.1	Amel	XM_006557559.3	Background		4	1	3	3	5	1	2	1	1	1	1
ORTHOMCL339	0.012	LOC725931	XP_001121719.3	Amel	XM_001121719.5	Background		1	2	2	5	2	2	2	2	2	2	1
ORTHOMCL341	0.0	LOC412770	XP_006561713.1	Amel	XM_006561650.3	Background		5	1	1	1	5	1	1	1	1	1	5
ORTHOMCL343	0.0	LOC551707	XP_016770274.1	Amel	XM_016914785.2	Background		4	1	3	5	2	2	1	1	1	1	2
ORTHOMCL347	0.002	LOC411366	XP_394840.2	Amel	XM_394840.6	Background		1	1	3	3	2	2	6	1	2	1	1
ORTHOMCL350	0.011000000000000001	LOC725797	XP_003251085.1	Amel	XM_003251037.3	Background		2	1	3	3	2	1	1	4	1	2	3
ORTHOMCL352	0.0	LOC408285	XP_026299092.1	Amel	XM_026443307.1	Background		2	1	2	4	6	2	1	1	1	1	2
ORTHOMCL356	0.002	LOC413620	XP_397062.3	Amel	XM_397062.7	Background		3	1	4	4	2	1	3	1	1	1	2
ORTHOMCL363	0.002	LOC409734	XP_006569661.1	Amel	XM_006569598.3	Background		1	1	5	5	2	1	3	1	2	1	1
ORTHOMCL364	0.009000000000000001	LOC552700	XP_006566718.1	Amel	XM_006566655.3	Background		3	1	3	3	2	1	3	2	1	1	3
ORTHOMCL369	0.0	LOC410227	XP_006562896.1	Amel	XM_006562833.3	Background		1	1	5	6	4	1	1	1	1	1	1
ORTHOMCL373	0.0	LOC100578389	XP_026296063.1	Amel	XM_026440278.1	Background		1	1	5	6	1	1	2	5	1	0	0
ORTHOMCL374	0.0	LOC551170	XP_026295443.1	Amel	XM_026439658.1	Background		2	1	3	1	5	1	5	1	1	1	2
ORTHOMCL377	0.0	LOC102656504	XP_026297198.1	Amel	XM_026441413.1	Background		1	1	2	4	6	1	0	1	1	1	5
ORTHOMCL378	0.0	LOC409718	XP_006570154.1	Amel	XM_006570091.3	Background		4	1	1	1	6	1	1	5	1	1	1
ORTHOMCL379	0.0	LOC413783	XP_026297000.1	Amel	XM_026441215.1	Background		1	1	6	5	2	3	1	1	1	1	1
ORTHOMCL385	0.001	LOC413363	XP_016766945.1	Amel	XM_016911456.2	Background		1	1	4	4	4	1	1	1	1	1	4
ORTHOMCL388	0.002	LOC409331	XP_006560273.1	Amel	XM_006560210.3	Background		1	1	4	3	1	2	2	1	2	1	5
ORTHOMCL389	0.008	LOC409323	XP_006559059.1	Amel	XM_006558996.3	Background		3	1	3	3	1	3	1	1	2	2	3
ORTHOMCL392	0.0	LOC413799	XP_003249499.1	Amel	XM_003249451.4	Background		2	1	3	2	2	1	1	1	1	1	8
ORTHOMCL393	0.001	LOC408641	XP_392181.4	Amel	XM_392181.7	Background		1	1	6	6	1	2	1	2	1	1	1
ORTHOMCL395	0.0	LOC100576733	XP_026295015.1	Amel	XM_026439230.1	Background		1	1	6	1	7	1	1	1	1	1	2
ORTHOMCL396	0.036000000000000004	LOC408751	XP_392285.1	Amel	XM_392285.7	Background		1	1	2	2	3	1	3	3	1	1	5
ORTHOMCL398	0.0	LOC100577003	XP_003250617.1	Amel	XM_003250569.4	Background		1	1	1	2	4	1	1	2	2	1	7
ORTHOMCL399	0.0	LOC725461	XP_026299125.1	Amel	XM_026443340.1	Background		1	1	1	1	7	1	1	1	1	1	7
ORTHOMCL402	0.0	LOC100576586	XP_026301974.1	Amel	XM_026446189.1	Background		1	1	7	5	2	1	1	1	1	1	2
ORTHOMCL404	0.002	LOC724955	XP_006564454.1	Amel	XM_006564391.3	Background		1	1	4	4	2	2	1	1	1	1	5
ORTHOMCL408	0.0	LOC113219136	XP_026299817.1	Amel	XM_026444032.1	Background		1	1	3	3	9	1	1	0	1	1	2
ORTHOMCL410	0.0	LOC411707	XP_026298880.1	Amel	XM_026443095.1	Background		1	1	6	7	1	1	1	1	1	1	2
ORTHOMCL411	0.002	LOC410502	XP_026300936.1	Amel	XM_026445151.1	Background		1	1	4	6	3	1	2	2	1	1	1
ORTHOMCL417	0.009000000000000001	LOC409470	XP_006562458.1	Amel	XM_006562395.3	Background		2	1	3	2	2	4	2	1	1	1	3
ORTHOMCL418	0.0	LOC408903	XP_397532.3	Amel	XM_397532.7	Background		2	1	2	3	1	1	1	3	1	1	6
ORTHOMCL421	0.002	LOC551450	XP_026302113.1	Amel	XM_026446328.1	Background		3	1	1	4	2	2	1	2	2	2	2
ORTHOMCL423	0.033	LOC410416	XP_026300490.1	Amel	XM_026444705.1	Background		3	3	2	3	3	0	2	2	1	1	2
ORTHOMCL425	0.0	LOC409493	XP_393000.3	Amel	XM_393000.6	Background		1	1	7	5	1	2	1	1	1	1	1
ORTHOMCL426	0.0	LOC552357	XP_026296732.1	Amel	XM_026440947.1	Background		2	1	5	7	1	1	1	1	1	1	1
ORTHOMCL428	0.015	LOC410891	XP_026294730.1	Amel	XM_026438945.1	Background		2	1	2	4	2	2	1	1	3	2	2
ORTHOMCL429	0.0	LOC726987	XP_006565899.1	Amel	XM_006565836.3	Background		3	1	3	4	1	1	1	1	2	1	4
ORTHOMCL430	0.0	LOC100577320	XP_003250293.1	Amel	XM_003250245.4	Background		3	1	1	1	8	1	1	1	0	1	4
ORTHOMCL431	0.0	LOC411863	XP_395330.3	Amel	XM_395330.6	Background		1	1	1	3	1	5	1	2	1	1	5
ORTHOMCL440	0.002	LOC100579049	XP_026296663.1	Amel	XM_026440878.1	Background		3	1	1	2	1	2	2	3	2	1	4
ORTHOMCL444	0.0	LOC726913	XP_016770204.2	Amel	XM_016914715.2	Background		1	1	3	2	1	1	5	6	1	1	0
ORTHOMCL447	0.0	LOC726935	XP_006557826.1	Amel	XM_006557763.3	Background		1	1	1	6	7	1	1	1	1	1	1
ORTHOMCL449	0.0	LOC552473	XP_624849.1	Amel	XM_624846.6	Background		1	1	3	4	3	1	1	1	1	1	5
ORTHOMCL451	0.0	LOC409782	XP_006561126.1	Amel	XM_006561063.3	Background		3	1	1	2	1	1	1	1	1	2	8
