	pvalue	GeneID	name	source	TranscriptID	Class	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
ORTHOMCL752	0.0	LOC102654353	XP_006571382.1	Amel	XM_006571319.3	NonCanon		1	1	1	1	3	0	8	1	1	1	1
ORTHOMCL755	0.006	LOC551447	XP_006572418.1	Amel	XM_006572355.3	NonCanon		1	1	4	6	1	1	1	1	1	1	1
ORTHOMCL756	0.005	LOC409801	XP_393293.2	Amel	XM_393293.7	NonCanon		2	1	1	2	4	2	1	1	2	2	1
ORTHOMCL766	0.004	LOC552686	XP_003249169.1	Amel	XM_003249121.4	NonCanon		1	1	3	4	1	3	1	2	1	1	1
ORTHOMCL777	0.004	LOC551219	XP_016767882.2	Amel	XM_016912393.2	NonCanon		1	1	3	3	1	1	1	1	1	1	5
ORTHOMCL778	0.006	LOC410943	XP_394419.2	Amel	XM_394419.7	NonCanon		1	1	4	6	1	1	1	1	1	1	1
ORTHOMCL791	0.024	LOC724745	XP_006559962.1	Amel	XM_006559899.1	NonCanon		1	2	2	1	1	1	1	2	2	3	2
ORTHOMCL804	0.0	Cox6c	NP_001165876.1	Amel	NM_001172405.1	NonCanon		5	1	1	2	1	2	1	1	1	1	2
ORTHOMCL807	0.003	LOC409909	XP_006570789.1	Amel	XM_006570726.3	NonCanon		3	1	2	2	1	2	3	1	1	1	1
ORTHOMCL810	0.0	LOC550780	XP_623109.1	Amel	XM_623106.5	NonCanon		2	1	1	1	1	1	2	1	1	1	6
ORTHOMCL836	0.0	LOC724226	XP_026296165.1	Amel	XM_026440380.1	NonCanon		3	3	1	2	2	1	1	1	3	1	0
ORTHOMCL838	0.036000000000000004	LOC551602	XP_623996.3	Amel	XM_623993.6	NonCanon		1	1	3	2	3	1	2	1	1	1	2
ORTHOMCL846	0.0	LOC725026	XP_006561752.1	Amel	XM_006561689.3	NonCanon		2	1	2	1	3	1	4	1	1	1	1
ORTHOMCL866	0.004	LOC726134	NP_001136081.1	Amel	NM_001142609.1	NonCanon		3	4	2	1	1	2	1	1	1	1	1
ORTHOMCL873	0.001	LOC551964	XP_624349.1	Amel	XM_624346.6	NonCanon		1	1	1	1	1	1	1	1	1	1	8
ORTHOMCL874	0.002	LOC412458	XP_026299083.1	Amel	XM_026443298.1	NonCanon		2	2	2	1	1	4	2	1	2	0	1
ORTHOMCL886	0.027999999999999997	LOC411985	XP_395451.4	Amel	XM_395451.7	NonCanon		1	1	4	4	1	2	1	1	1	1	1
ORTHOMCL901	0.002	LOC408430	XP_026300380.1	Amel	XM_026444595.1	NonCanon		1	1	1	3	3	1	3	2	1	1	1
ORTHOMCL902	0.024	LOC100577050	XP_026300995.1	Amel	XM_026445210.1	NonCanon		1	1	3	3	4	1	1	1	1	1	1
ORTHOMCL907	0.0	LOC552283	XP_026295805.1	Amel	XM_026440020.1	NonCanon		1	1	1	5	1	1	3	2	1	1	1
ORTHOMCL920	0.028999999999999998	LOC408474	NP_001127699.1	Amel	NM_001134227.1	NonCanon		1	1	3	3	1	1	1	3	1	1	1
ORTHOMCL924	0.0	LOC408911	XP_006569510.1	Amel	XM_006569447.3	NonCanon		5	1	1	1	1	2	1	1	1	1	2
ORTHOMCL940	0.002	Cox6b1	NP_001165874.1	Amel	NM_001172403.1	NonCanon		1	1	1	2	5	2	1	2	0	1	1
ORTHOMCL950	0.004	LOC412303	XP_006569984.1	Amel	XM_006569921.3	NonCanon		1	1	1	1	1	1	3	1	1	1	5
ORTHOMCL955	0.001	LOC102654084	XP_016772149.1	Amel	XM_016916660.2	NonCanon		1	1	2	2	2	1	1	0	1	1	5
ORTHOMCL979	0.037000000000000005	LOC410155	XP_016770011.2	Amel	XM_016914522.2	NonCanon		1	1	1	2	1	1	2	3	2	2	1
ORTHOMCL1005	0.037000000000000005	LOC411466	XP_026301274.1	Amel	XM_026445489.1	NonCanon		2	1	1	1	2	1	1	2	2	3	1
ORTHOMCL1007	0.028999999999999998	LOC409103	XP_006568665.1	Amel	XM_006568602.2	NonCanon		1	1	1	1	2	1	2	1	1	1	5
ORTHOMCL1044	0.0	LOC725318	XP_016773334.2	Amel	XM_016917845.2	NonCanon		1	1	4	2	1	1	5	1	1	0	0
ORTHOMCL1047	0.005	LOC410317	XP_006566375.1	Amel	XM_006566312.3	NonCanon		1	1	2	1	1	1	1	1	3	4	1
ORTHOMCL1067	0.022000000000000002	LOC409945	XP_393437.3	Amel	XM_393437.7	NonCanon		1	1	2	3	1	1	1	2	1	1	3
ORTHOMCL1078	0.026000000000000002	LOC409511	XP_393018.4	Amel	XM_393018.7	NonCanon		1	1	3	5	1	1	1	1	1	1	1
ORTHOMCL1166	0.043	LOC552479	XP_026301120.1	Amel	XM_026445335.1	NonCanon		2	1	1	2	1	2	1	1	1	2	2
ORTHOMCL1188	0.011000000000000001	egh	NP_001229485.1	Amel	NM_001242556.1	NonCanon		3	1	1	1	2	1	1	1	1	1	3
ORTHOMCL1209	0.018000000000000002	LOC724292	XP_026300207.1	Amel	XM_026444422.1	NonCanon		2	1	2	1	2	1	1	1	2	2	1
ORTHOMCL1218	0.001	LOC107964089	XP_026302245.1	Amel	XM_026446460.1	NonCanon		1	1	1	5	2	1	1	1	1	1	1
ORTHOMCL1227	0.040999999999999995	LOC411799	XP_395266.4	Amel	XM_395266.7	NonCanon		1	1	3	2	2	1	2	1	1	1	1
ORTHOMCL1270	0.003	LOC726240	XP_001121996.2	Amel	XM_001121996.5	NonCanon		2	1	1	1	6	0	1	1	1	1	1
ORTHOMCL1282	0.049	LOC411731	XP_016769242.1	Amel	XM_016913753.2	NonCanon		1	1	2	2	1	1	1	1	1	1	4
ORTHOMCL1286	0.001	LOC410577	XP_394055.2	Amel	XM_394055.7	NonCanon		1	1	1	5	1	1	1	2	1	1	1
ORTHOMCL1292	0.018000000000000002	LOC410672	XP_006571436.1	Amel	XM_006571373.3	NonCanon		3	1	1	1	1	1	2	1	1	2	2
ORTHOMCL1311	0.021	LOC552229	XP_016770320.2	Amel	XM_016914831.2	NonCanon		1	2	1	2	2	1	2	1	2	1	1
ORTHOMCL1323	0.0	LOC411910	XP_006570705.1	Amel	XM_006570642.3	NonCanon		1	1	1	5	1	1	2	1	0	1	2
ORTHOMCL1337	0.01	LOC411691	XP_395159.2	Amel	XM_395159.5	NonCanon		1	1	3	4	1	1	2	0	1	1	1
ORTHOMCL1346	0.0	LOC100578811	XP_016769728.1	Amel	XM_016914239.2	NonCanon		0	1	4	3	2	0	1	1	1	1	2
ORTHOMCL1356	0.006999999999999999	LOC726118	XP_001120695.1	Amel	XM_001120695.5	NonCanon		4	1	1	1	1	1	1	1	1	1	2
ORTHOMCL1365	0.038	LOC552124	XP_624507.1	Amel	XM_624504.4	NonCanon		2	1	1	1	2	1	3	1	1	1	1
ORTHOMCL1371	0.027000000000000003	LOC412287	XP_395748.2	Amel	XM_395748.7	NonCanon		2	1	2	1	1	1	2	1	1	1	2
ORTHOMCL1396	0.027000000000000003	LOC550804	XP_623357.1	Amel	XM_623354.5	NonCanon		2	1	1	2	1	1	2	1	1	1	2
ORTHOMCL1404	0.018000000000000002	LOC725261	XP_016768764.1	Amel	XM_016913275.2	NonCanon		3	1	1	1	1	1	1	1	1	2	2
ORTHOMCL1410	0.038	LOC411722	XP_026302249.1	Amel	XM_026446464.1	NonCanon		2	1	1	2	2	1	1	1	1	1	2
ORTHOMCL1435	0.042	LOC412005	XP_395471.3	Amel	XM_395471.6	NonCanon		3	1	2	2	1	1	1	1	1	1	1
ORTHOMCL1442	0.02	LOC552643	XP_006567507.1	Amel	XM_006567444.3	NonCanon		3	1	1	1	2	1	2	1	1	1	1
ORTHOMCL1465	0.028999999999999998	LOC413575	XP_006571359.2	Amel	XM_006571296.3	NonCanon		1	1	2	1	1	1	1	1	1	1	4
ORTHOMCL1469	0.032	LOC552278	XP_624657.2	Amel	XM_624654.5	NonCanon		1	1	2	1	2	1	3	1	1	1	1
ORTHOMCL1471	0.006	LOC411006	XP_006567277.1	Amel	XM_006567214.3	NonCanon		1	1	1	4	1	1	1	2	1	1	1
ORTHOMCL1475	0.012	LOC412166	XP_026295893.1	Amel	XM_026440108.1	NonCanon		2	1	1	1	0	4	1	1	1	1	2
ORTHOMCL1483	0.018000000000000002	LOC409465	XP_026298733.1	Amel	XM_026442948.1	NonCanon		1	1	3	1	1	1	3	1	1	1	1
ORTHOMCL1561	0.042	LOC724365	XP_001119944.1	Amel	XM_001119944.5	NonCanon		3	1	2	2	1	1	1	1	1	1	1
ORTHOMCL1599	0.027000000000000003	LOC411167	XP_394641.3	Amel	XM_394641.7	NonCanon		1	1	1	2	1	1	3	1	1	1	2
ORTHOMCL1605	0.043	LOC408355	XP_391907.1	Amel	XM_391907.5	NonCanon		1	1	2	1	3	1	2	1	1	1	1
ORTHOMCL1712	0.004	LOC413106	XP_026298369.1	Amel	XM_026442584.1	NonCanon		1	1	1	5	1	1	1	1	1	1	1
ORTHOMCL1779	0.027000000000000003	LOC410664	XP_006557451.1	Amel	XM_006557388.1	NonCanon		3	1	2	1	1	1	1	1	1	1	1
ORTHOMCL1810	0.002	Ndufs5	NP_001155303.1	Amel	NM_001161831.1	NonCanon		1	1	1	1	2	0	2	4	1	1	0
ORTHOMCL1868	0.027000000000000003	LOC409425	XP_026297227.1	Amel	XM_026441442.1	NonCanon		3	1	1	2	1	1	1	1	1	1	1
ORTHOMCL1938	0.044000000000000004	LOC412169	XP_395632.3	Amel	XM_395632.7	NonCanon		1	1	2	3	0	1	1	1	1	1	2
ORTHOMCL1955	0.027000000000000003	LOC410263	XP_016770706.1	Amel	XM_016915217.2	NonCanon		1	1	1	4	1	1	1	1	1	1	1
ORTHOMCL1980	0.028999999999999998	LOC409171	XP_392696.5	Amel	XM_392696.7	NonCanon		1	1	1	1	4	1	1	0	1	2	1
ORTHOMCL2048	0.013999999999999999	LOC552049	XP_006564745.1	Amel	XM_006564682.3	NonCanon		1	1	1	1	1	1	1	5	1	0	1
ORTHOMCL2971	0.027000000000000003	GstD1	NP_001171499.1	Amel	NM_001178028.1	NonCanon		0	1	1	1	1	3	2	1	1	1	1
ORTHOMCL2975	0.004	LOC413789	XP_397228.2	Amel	XM_397228.7	NonCanon		0	1	1	1	1	1	1	1	1	0	5
ORTHOMCL4221	0.048	LOC113218558	XP_026296174.1	Amel	XM_026440389.1	NonCanon		1	2	0	1	1	1	1	1	1	1	2
ORTHOMCL9290	0.018000000000000002	Uqcr11	NP_001177743.1	Amel	NM_001190814.1	NonCanon		1	1	0	0	2	0	0	0	0	1	1
ORTHOMCL9297	0.0	LOC102654800	XP_006571987.1	Amel	XM_006571924.1	NonCanon		0	4	0	0	0	0	0	1	1	0	0
ORTHOMCL9626	0.005	LOC102655838	XP_006560668.1	Amel	XM_006560605.3	NonCanon		1	1	0	0	0	0	0	0	1	1	0
ORTHOMCL9656	0.0	LOC100577044	XP_026295418.1	Amel	XM_026439633.1	NonCanon		0	2	1	0	0	0	0	0	1	0	0
ORTHOMCL9929	0.004	LOC409533	XP_006569793.2	Amel	XM_006569730.3	NonCanon		0	1	0	0	0	0	0	1	1	0	0
ORTHOMCL10448	0.0	LOC102653771	XP_016772081.1	Amel	XM_016916592.1	NonCanon		0	1	0	0	0	0	0	0	1	0	0
